Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
851,"1,065","4,476","20,327","-0,900","0,127","1,477","-3,972","4,711","-2,115","1,609","-2,950","0,500","1,219","0,538","-0,959","1,359","-0,811","5,000","5,656","1,120","2,119"
852,"0,592","3,395","17,745","-0,527","1,164","1,390","-4,384","4,917","-3,063","3,187","-2,298","1,918","1,671","-0,285","-2,552","1,565","-0,707","4,567","5,120","1,357","0,972"
853,"0,422","2,971","15,719","-0,214","1,902","1,361","-4,528","6,601","-3,556","4,322","-1,764","2,533","1,969","-0,004","-3,612","2,269","-0,559","5,065","4,817","1,795","0,890"
854,"-0,166","1,582","11,772","-0,045","2,349","1,083","-4,211","7,681","-3,345","5,567","-0,932","2,850","2,175","0,724","-3,448","2,380","-0,002","6,271","4,733","2,135","1,200"
855,"-0,655","1,042","8,854","0,008","2,507","0,927","-4,046","6,971","-4,061","5,981","-0,843","3,030","1,893","1,238","-2,721","1,876","-0,054","5,059","4,775","3,096","2,313"
856,"-0,740","1,124","7,761","0,142","2,477","1,109","-3,558","7,172","-3,743","4,506","-0,009","2,977","1,436","1,005","-2,426","1,825","-0,509","3,529","4,778","4,305","3,982"
857,"-1,352","0,635","7,122","0,581","2,204","1,313","-2,528","6,354","-3,110","4,469","0,322","3,418","0,792","0,422","-2,019","1,501","-0,509","2,964","4,711","4,985","4,008"
858,"-1,543","0,179","6,375","0,524","2,155","1,388","-2,177","5,532","-3,304","5,097","-0,170","4,281","0,375","0,378","-2,119","1,775","-0,584","2,854","5,038","5,358","3,664"
859,"-1,871","0,031","5,365","0,845","1,834","1,671","-1,580","5,011","-2,219","5,976","0,213","4,962","0,044","0,160","-2,390","1,761","-0,546","1,348","5,221","5,346","2,745"
860,"-1,941","-0,075","4,512","1,040","1,743","1,859","-1,228","3,451","-2,159","6,450","1,420","4,720","-0,028","0,085","-2,282","1,589","-0,580","0,341","5,095","5,302","1,887"
861,"-1,511","0,050","4,505","1,361","1,782","2,078","-0,830","2,680","-1,241","6,486","2,746","4,122","-0,128","0,322","-2,009","1,738","-0,389","1,118","5,006","5,089","0,504"
862,"-1,506","0,124","4,548","1,791","1,547","2,151","-0,414","1,491","-1,009","6,980","3,688","3,861","-0,422","0,428","-1,610","2,110","-0,358","1,747","4,737","4,851","-0,947"
863,"-1,313","0,019","3,926","2,030","1,414","2,096","0,033","0,446","-0,274","6,064","3,448","3,693","-0,287","-0,153","-2,102","1,617","-0,403","1,734","4,107","4,983","-1,585"
864,"-0,806","-0,121","3,413","1,791","1,187","2,215","1,210","-1,155","0,395","5,239","3,438","2,557","-0,415","-1,359","-2,827","1,785","-0,033","2,065","4,073","5,454","-1,128"
865,"-0,684","-0,064","3,388","1,557","1,212","2,352","1,839","-2,675","0,308","5,957","4,335","2,383","-0,159","-2,031","-3,822","1,455","0,564","3,294","3,601","5,365","-0,453"
866,"0,260","0,429","5,899","0,636","1,201","2,294","4,175","-4,883","1,432","6,776","6,077","2,899","0,117","-1,563","-3,136","0,931","0,523","2,495","3,457","5,185","-0,115"
867,"1,154","0,955","8,533","-0,363","1,329","1,970","5,992","-7,886","1,537","6,867","6,394","3,859","0,087","-0,875","-1,978","0,427","1,040","2,105","3,317","4,527","-0,701"
868,"1,307","0,957","7,378","-0,527","1,104","1,401","7,462","-10,275","1,763","6,043","5,633","4,378","-0,703","-1,190","-1,965","-0,073","1,122","2,727","2,886","3,452","-2,392"
869,"2,505","0,856","8,635","-0,626","1,069","0,855","10,587","-13,483","2,612","4,512","4,623","3,504","-0,582","-1,993","-1,754","-0,579","1,296","2,734","2,958","3,130","-2,511"
870,"3,530","1,310","12,165","-0,343","1,133","0,513","14,281","-18,420","3,002","3,750","4,131","2,297","0,092","-2,905","-0,976","-1,945","2,216","2,219","2,761","2,516","-2,251"
871,"4,211","2,039","14,381","-0,238","1,209","0,244","17,083","-21,514","2,110","3,807","4,740","0,932","0,466","-3,627","-0,851","-3,321","3,544","2,612","2,812","2,127","-2,074"
872,"5,067","2,207","18,954","-0,381","1,277","-0,068","17,635","-20,820","2,660","4,045","4,571","0,404","0,424","-3,586","-1,025","-2,462","4,317","4,713","2,594","1,717","-1,505"
873,"5,728","0,877","16,850","-0,320","1,216","-0,062","17,089","-19,882","2,871","3,063","3,231","0,002","0,728","-2,814","-0,660","0,712","5,058","7,693","2,491","1,470","-0,866"
874,"5,927","-0,239","10,416","-0,299","1,029","0,280","17,034","-20,095","2,809","1,169","2,195","-1,492","1,056","-2,366","0,116","0,265","4,800","7,804","2,520","0,776","-1,224"
875,"5,741","1,129","8,475","-0,435","0,368","1,090","16,420","-18,830","2,857","-0,091","1,090","-3,107","1,061","-3,067","0,251","-1,288","4,042","5,120","2,638","-0,048","-2,922"
876,"4,896","1,575","8,489","-0,831","-0,393","1,688","14,684","-16,449","3,138","0,314","1,395","-3,986","1,051","-4,040","0,045","-0,833","3,178","3,004","2,748","-0,823","-4,509"
877,"5,033","2,144","13,141","-0,814","-1,131","2,066","12,446","-14,345","4,164","0,243","2,226","-3,883","1,594","-4,694","0,294","-0,510","2,808","2,075","2,743","-0,922","-5,335"
878,"4,937","3,499","16,966","-0,611","-1,740","2,471","10,917","-13,476","3,564","0,193","2,716","-4,696","1,283","-5,100","0,426","0,163","2,960","1,789","2,840","-1,281","-5,837"
879,"3,833","4,037","17,548","-0,875","-2,391","2,295","9,653","-10,721","3,877","2,195","1,949","-4,420","0,742","-4,917","0,817","0,692","3,254","1,888","2,683","-1,512","-6,213"
880,"2,666","4,372","19,712","-0,613","-2,621","1,696","8,915","-8,728","4,545","4,653","1,241","-4,092","0,558","-4,881","1,343","1,831","4,158","3,486","2,698","-1,611","-6,435"
881,"1,988","3,750","19,051","-0,282","-2,650","1,181","8,347","-8,473","4,353","3,948","2,019","-3,927","0,165","-5,008","1,582","2,908","4,871","4,185","2,609","-1,493","-6,026"
882,"1,278","4,905","19,812","0,022","-2,534","1,139","6,866","-7,919","3,832","1,176","3,350","-4,835","-0,298","-5,210","1,928","3,007","5,511","4,497","2,709","-0,836","-4,840"
883,"0,539","4,873","18,996","0,343","-2,255","1,315","6,947","-5,880","3,962","1,272","2,820","-3,820","-0,382","-4,887","1,509","2,767","5,926","4,997","2,589","-0,520","-3,986"
884,"0,328","4,353","18,014","0,842","-2,049","1,430","4,398","-4,079","3,411","2,713","1,358","-2,301","-0,549","-4,526","1,270","2,223","5,272","4,736","2,603","0,175","-2,422"
885,"0,104","3,384","14,683","0,490","-2,193","1,666","3,128","-2,383","3,222","3,921","0,234","-1,031","-0,905","-4,327","1,104","1,652","4,621","4,608","2,599","0,858","-0,586"
886,"-0,150","2,187","10,275","0,203","-2,026","1,905","2,650","-0,133","2,885","4,515","-0,323","-0,283","-1,409","-4,341","0,688","-0,012","3,322","4,166","2,712","1,113","0,445"
887,"-0,003","0,841","5,556","0,029","-2,423","2,112","1,003","1,215","2,243","4,910","-0,931","-0,417","-1,302","-4,275","0,806","-0,394","1,601","2,680","3,163","0,886","0,110"
888,"0,137","0,335","2,068","-0,462","-2,668","2,129","0,020","1,718","1,690","4,380","-0,490","-2,416","-0,905","-4,138","1,063","-0,776","-0,155","-0,055","3,882","0,499","-1,474"
889,"0,095","-0,504","-0,554","-0,900","-2,995","2,031","-0,068","1,525","1,773","3,299","0,930","-4,540","-1,091","-4,343","1,662","-0,770","-1,222","-3,007","4,469","-0,019","-3,811"
890,"0,233","-1,213","-2,465","-1,408","-3,102","1,776","-0,649","1,053","0,903","1,838","2,667","-5,008","-1,157","-4,690","1,790","-1,238","-1,160","-5,048","5,080","-0,165","-4,707"
891,"-0,117","-2,387","-6,554","-1,390","-3,089","1,151","-1,467","1,868","0,087","1,999","3,292","-4,924","-1,459","-4,981","1,280","-1,746","-0,407","-5,778","5,276","-0,963","-5,743"
892,"-1,137","-4,628","-13,403","-1,359","-3,044","0,707","-3,683","4,782","-0,743","5,369","1,329","-2,805","-1,450","-4,865","0,640","-1,998","-0,433","-6,384","5,297","-1,812","-6,901"
893,"-2,045","-6,919","-21,135","-1,315","-3,088","0,463","-6,434","8,749","-0,680","6,061","-0,407","-1,388","-0,968","-4,192","1,087","-1,569","-0,878","-6,261","5,180","-1,577","-6,078"
894,"-1,804","-5,656","-19,977","-0,732","-3,159","0,062","-5,775","7,989","-0,579","3,818","-0,103","-2,138","-0,503","-3,656","1,185","-0,588","-1,241","-4,861","5,179","-1,564","-5,147"
