Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
50,"-0,159","-0,150","0,000","-0,070","0,104","-0,237","-0,016","-0,060","0,000","-0,043","0,441","0,001","-0,168","-0,514","-0,001","-0,268","0,258","0,001","-0,038","-0,058","0,000"
51,"-0,390","0,091","0,003","0,274","0,145","-0,240","-0,186","0,324","-0,006","0,465","-0,013","-0,003","-0,005","-0,262","0,002","0,176","-0,024","0,005","0,071","-0,167","-0,001"
52,"0,181","-0,238","0,010","-0,062","0,088","-0,245","0,206","0,061","-0,013","0,011","0,220","0,001","-0,550","0,073","0,008","0,075","0,173","0,009","-0,259","-0,766","-0,013"
53,"0,457","-0,110","0,014","0,219","0,291","-0,248","0,194","0,480","-0,014","-0,174","0,235","0,000","-0,076","-0,410","0,012","0,364","0,034","0,010","-0,182","-0,167","-0,018"
54,"0,129","-0,261","0,012","0,474","0,060","-0,252","0,142","0,040","-0,010","-0,230","0,919","-0,004","0,275","-0,507","0,016","0,577","0,148","0,012","-0,132","-0,181","-0,017"
55,"-0,028","-0,076","0,013","0,135","0,006","-0,258","0,022","-0,077","-0,008","0,218","0,911","-0,016","0,053","-0,778","0,018","-0,094","0,208","0,016","0,216","-0,112","-0,013"
56,"-0,596","-0,300","0,019","0,192","0,347","-0,263","-0,322","-0,456","-0,011","0,144","0,315","-0,014","-0,229","-1,145","0,016","-0,266","0,810","0,023","-0,319","0,192","-0,021"
57,"-0,434","-0,272","0,021","0,188","0,005","-0,263","0,093","0,058","-0,013","-0,020","0,260","-0,007","0,110","-0,849","0,014","-0,243","0,128","0,020","0,061","0,576","-0,015"
58,"-0,305","0,016","0,021","-0,110","0,169","-0,259","-0,461","-0,269","-0,015","0,555","-0,111","-0,003","-0,491","-0,849","0,010","-0,199","0,273","0,018","0,069","0,561","-0,014"
59,"0,294","0,152","0,027","-0,441","0,223","-0,252","0,131","0,038","-0,018","0,212","0,429","0,000","-0,492","-0,837","0,005","-0,266","0,108","0,011","0,128","0,289","-0,007"
60,"0,032","-0,467","0,031","-0,106","0,333","-0,245","-0,129","0,090","-0,020","0,077","0,302","0,004","-0,404","-0,703","0,002","-0,130","0,503","0,001","-0,407","-0,138","-0,003"
61,"-0,538","-0,539","0,039","0,208","0,179","-0,243","-0,271","0,238","-0,019","-0,052","0,704","0,005","-0,346","-0,308","0,005","-0,080","0,577","-0,005","-0,471","-0,670","-0,001"
62,"-0,746","0,012","0,032","0,264","-0,158","-0,245","0,036","-0,342","-0,015","0,539","0,646","-0,003","-0,632","0,002","0,007","-0,295","0,027","-0,003","-0,503","-0,793","-0,004"
63,"-0,354","-0,444","0,021","0,282","-0,499","-0,247","-0,232","-0,084","-0,013","0,236","0,502","0,002","-0,484","0,022","0,003","0,046","-0,193","0,011","-0,395","-0,128","0,000"
64,"-0,099","-0,055","0,008","-0,014","-0,328","-0,250","-0,373","-0,078","-0,012","0,492","0,062","0,004","-0,450","-0,259","-0,001","0,089","-0,077","0,027","-0,134","0,318","0,002"
65,"-0,215","-0,591","0,003","0,278","-0,149","-0,248","-0,299","0,229","-0,017","0,503","0,128","0,008","0,140","-0,275","0,004","0,523","0,421","0,040","0,509","0,177","-0,002"
66,"0,251","-0,192","-0,008","0,542","-0,372","-0,243","0,349","-0,001","-0,019","-0,127","-0,115","0,014","0,658","0,178","0,013","0,915","-0,117","0,053","0,427","0,009","-0,016"
67,"0,250","0,057","-0,016","0,353","-0,090","-0,239","0,377","-0,312","-0,017","-0,221","0,071","0,019","0,562","0,224","0,022","0,399","0,049","0,054","0,186","-0,260","-0,022"
68,"-0,305","0,309","-0,024","0,577","0,166","-0,235","0,330","-0,282","-0,019","0,282","0,444","0,015","0,457","-0,175","0,024","0,272","0,325","0,062","0,025","-0,420","-0,016"
69,"-0,503","-0,270","-0,027","0,309","-0,048","-0,225","0,066","-0,069","-0,027","-0,204","-0,043","0,018","-0,069","-0,192","0,020","-0,250","0,354","0,067","-0,476","0,058","-0,007"
70,"-0,645","-0,094","-0,029","0,085","0,207","-0,221","-0,485","-0,199","-0,033","0,279","0,436","0,015","-0,087","-0,730","0,008","-0,304","0,313","0,070","-0,065","0,059","0,010"
71,"-0,572","-0,107","-0,032","0,090","0,238","-0,216","-0,462","-0,155","-0,038","0,331","0,443","0,021","-0,093","-0,795","-0,003","-0,261","0,342","0,072","-0,047","0,064","0,017"
72,"-0,540","-0,068","-0,033","0,065","0,216","-0,212","-0,425","-0,186","-0,040","0,315","0,391","0,031","-0,084","-0,792","-0,007","-0,254","0,316","0,071","0,000","0,117","0,016"
73,"-0,480","-0,027","-0,034","0,036","0,204","-0,208","-0,355","-0,193","-0,040","0,278","0,430","0,037","-0,117","-0,744","0,000","-0,256","0,283","0,067","-0,004","0,046","0,008"
74,"-0,436","-0,059","-0,034","0,027","0,173","-0,204","-0,305","-0,145","-0,039","0,279","0,423","0,043","-0,162","-0,688","0,008","-0,236","0,251","0,061","-0,002","0,032","-0,002"
75,"-0,427","-0,127","-0,038","-0,002","0,163","-0,199","-0,282","-0,075","-0,037","0,250","0,410","0,046","-0,225","-0,653","0,011","-0,264","0,276","0,057","-0,034","0,041","-0,003"
76,"-0,407","-0,182","-0,048","0,022","0,135","-0,192","-0,216","-0,030","-0,030","0,235","0,400","0,041","-0,219","-0,596","0,013","-0,254","0,277","0,052","-0,042","0,048","0,008"
77,"-0,387","-0,208","-0,062","0,003","0,107","-0,184","-0,207","-0,022","-0,025","0,224","0,439","0,040","-0,257","-0,542","0,017","-0,291","0,282","0,051","-0,037","-0,005","0,013"
78,"-0,369","-0,171","-0,077","0,028","0,081","-0,179","-0,189","-0,054","-0,022","0,225","0,438","0,044","-0,204","-0,540","0,020","-0,233","0,245","0,056","-0,017","-0,012","0,012"
79,"-0,311","-0,158","-0,089","0,050","0,049","-0,174","-0,129","-0,060","-0,019","0,230","0,435","0,052","-0,149","-0,524","0,021","-0,192","0,186","0,060","-0,012","0,001","0,007"
80,"-0,285","-0,168","-0,101","0,085","0,044","-0,170","-0,157","-0,005","-0,019","0,201","0,497","0,058","-0,084","-0,536","0,028","-0,136","0,155","0,068","0,007","-0,012","-0,004"
81,"-0,226","-0,180","-0,118","0,118","0,037","-0,167","-0,097","0,011","-0,013","0,194","0,466","0,061","-0,046","-0,556","0,039","-0,081","0,173","0,076","0,038","0,042","-0,014"
82,"-0,206","-0,167","-0,124","0,103","0,068","-0,163","-0,131","-0,002","-0,009","0,237","0,413","0,062","-0,098","-0,562","0,046","-0,072","0,223","0,075","0,018","0,048","-0,019"
83,"-0,175","-0,154","-0,125","0,070","0,065","-0,159","-0,106","-0,007","-0,008","0,250","0,362","0,060","-0,132","-0,522","0,045","-0,080","0,240","0,072","0,045","0,033","-0,012"
84,"-0,175","-0,149","-0,124","0,040","0,059","-0,156","-0,074","0,010","-0,010","0,309","0,400","0,060","-0,176","-0,484","0,043","-0,143","0,247","0,070","0,058","-0,022","-0,007"
85,"-0,163","-0,168","-0,126","0,015","0,072","-0,152","-0,037","0,033","-0,011","0,304","0,454","0,060","-0,199","-0,465","0,036","-0,192","0,289","0,070","0,039","-0,079","0,002"
86,"-0,099","-0,159","-0,131","0,001","0,043","-0,148","0,015","0,006","-0,008","0,316","0,467","0,061","-0,252","-0,426","0,032","-0,178","0,245","0,069","-0,019","-0,117","0,007"
87,"-0,041","-0,144","-0,136","0,015","0,011","-0,143","0,047","-0,022","-0,005","0,270","0,466","0,067","-0,225","-0,418","0,036","-0,144","0,191","0,064","-0,027","-0,117","0,003"
88,"-0,040","-0,143","-0,138","0,028","0,044","-0,138","0,098","0,006","-0,004","0,230","0,412","0,072","-0,226","-0,481","0,047","-0,147","0,189","0,061","-0,059","-0,058","-0,008"
89,"0,025","-0,154","-0,143","0,007","0,023","-0,132","0,131","0,038","-0,005","0,211","0,400","0,076","-0,258","-0,490","0,060","-0,141","0,181","0,061","-0,055","-0,003","-0,020"
90,"0,016","-0,157","-0,143","0,046","0,029","-0,128","0,083","0,048","-0,003","0,163","0,398","0,077","-0,250","-0,481","0,065","-0,081","0,206","0,057","-0,110","0,009","-0,023"
91,"0,013","-0,136","-0,136","0,085","0,033","-0,126","0,038","0,063","-0,006","0,163","0,358","0,074","-0,190","-0,458","0,068","-0,015","0,204","0,055","-0,060","0,007","-0,020"
92,"-0,032","-0,078","-0,130","0,124","0,023","-0,123","0,008","0,068","-0,013","0,154","0,413","0,071","-0,138","-0,417","0,069","0,004","0,160","0,055","-0,037","-0,053","-0,016"
93,"-0,035","-0,104","-0,119","0,161","0,006","-0,122","-0,027","0,044","-0,020","0,176","0,474","0,071","-0,070","-0,379","0,067","0,067","0,155","0,054","-0,006","-0,107","-0,013"
94,"-0,078","-0,052","-0,105","0,133","0,000","-0,120","-0,092","0,012","-0,030","0,241","0,475","0,073","-0,081","-0,342","0,067","0,027","0,109","0,049","0,045","-0,124","-0,015"
95,"-0,027","-0,014","-0,091","0,103","0,005","-0,119","-0,076","-0,026","-0,041","0,194","0,431","0,075","-0,154","-0,323","0,067","0,010","0,081","0,046","-0,014","-0,119","-0,016"
