Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
46,"-0,004","-0,190","0,000","-0,025","0,012","-0,585","-0,102","0,350","0,000","0,120","-0,082","0,000","0,105","-0,132","0,000","-0,025","0,012","0,000","0,264","0,081","0,000"
47,"-0,096","-0,171","0,000","-0,025","0,012","-0,585","-0,096","0,328","0,000","0,142","-0,068","0,000","0,105","-0,132","0,000","-0,132","0,020","0,000","0,287","0,067","0,000"
48,"-0,093","-0,173","0,000","-0,038","0,050","-0,585","-0,097","0,327","0,000","0,119","-0,044","0,000","0,092","-0,169","0,000","-0,141","0,055","0,000","0,264","0,081","0,000"
49,"-0,096","-0,169","0,000","-0,038","0,050","-0,585","-0,096","0,322","0,000","0,136","-0,043","0,000","0,022","-0,171","0,000","-0,145","0,055","0,000","0,217","0,082","0,000"
50,"0,009","-0,136","0,000","-0,038","0,098","-0,585","-0,101","0,297","0,000","0,130","-0,078","0,000","0,022","-0,218","0,000","-0,026","0,072","0,000","0,205","0,153","0,000"
51,"0,387","-0,123","0,000","0,000","-0,249","-0,581","0,356","0,207","-0,005","0,617","-0,549","0,004","0,401","0,197","0,000","0,213","0,012","0,002","0,817","0,287","0,001"
52,"-0,179","0,018","0,000","-0,023","0,092","-0,576","-0,279","0,163","-0,010","0,545","-0,302","0,006","0,100","0,057","0,007","-0,052","0,104","0,001","0,201","0,048","-0,004"
53,"0,085","-0,303","-0,004","0,008","-0,255","-0,570","-0,106","0,442","-0,008","0,483","0,029","0,009","0,450","0,259","0,012","-0,095","0,098","-0,001","0,786","-0,031","-0,011"
54,"-0,160","0,241","-0,007","-0,087","0,070","-0,563","-0,369","-0,108","-0,013","-0,013","0,516","0,018","0,120","-0,316","0,024","-0,158","0,087","-0,002","0,311","-0,028","-0,021"
55,"0,022","0,286","-0,007","-0,431","0,006","-0,556","-0,207","-0,145","-0,021","0,198","-0,122","0,024","0,112","-0,343","0,031","-0,335","0,324","0,000","0,704","0,401","-0,025"
56,"-0,204","0,319","-0,002","-0,104","0,085","-0,549","-0,492","-0,166","-0,039","-0,195","-0,137","0,028","0,099","-0,433","0,036","-0,076","0,076","0,006","0,186","0,694","-0,031"
57,"-0,076","0,248","0,000","0,227","0,009","-0,540","-0,346","0,396","-0,053","-0,458","-0,151","0,032","0,128","-0,204","0,044","0,485","-0,246","0,014","-0,268","0,226","-0,038"
58,"0,466","0,066","-0,001","-0,121","0,014","-0,531","-0,137","-0,021","-0,064","0,130","0,117","0,038","0,127","-0,197","0,055","0,350","0,033","0,019","0,327","-0,030","-0,044"
59,"0,424","-0,327","-0,004","0,218","0,004","-0,524","0,455","0,111","-0,071","0,152","0,123","0,044","0,470","0,154","0,062","0,390","0,197","0,021","0,352","-0,035","-0,050"
60,"0,390","0,014","-0,006","-0,030","-0,242","-0,518","-0,197","0,006","-0,073","0,462","-0,122","0,051","-0,097","0,303","0,067","0,423","-0,245","0,023","0,366","-0,036","-0,054"
61,"0,214","-0,240","-0,004","-0,377","-0,244","-0,510","0,277","0,460","-0,080","-0,027","-0,590","0,055","-0,148","0,494","0,072","-0,265","-0,293","0,017","0,393","-0,020","-0,058"
62,"0,098","0,309","-0,002","-0,093","-0,058","-0,501","0,172","-0,104","-0,081","-0,067","-0,118","0,061","0,481","0,241","0,079","-0,236","-0,335","0,011","0,473","-0,174","-0,063"
63,"0,071","0,372","0,000","0,190","-0,249","-0,494","-0,170","0,336","-0,082","-0,163","-0,602","0,067","0,454","0,551","0,080","0,349","-0,685","0,006","0,348","-0,011","-0,066"
64,"-0,107","-0,062","0,005","-0,134","-0,128","-0,487","-0,024","0,298","-0,089","-0,098","-0,307","0,071","0,281","0,118","0,086","-0,297","-0,438","-0,002","0,233","0,089","-0,065"
