Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
85,"-0,463","0,015","-0,108","1,077","-0,040","-0,265","0,019","-0,452","0,045","0,302","-0,023","-0,080","0,767","0,297","0,102","0,332","0,357","0,050","0,089","-0,130","-0,026"
86,"-0,468","0,009","-0,097","1,033","-0,048","-0,264","-0,033","-0,490","0,038","0,328","0,010","-0,082","0,736","0,293","0,096","0,307","0,383","0,048","0,087","-0,151","-0,020"
87,"-0,487","-0,025","-0,085","0,986","-0,052","-0,263","-0,037","-0,471","0,031","0,330","0,018","-0,086","0,703","0,283","0,090","0,281","0,411","0,047","0,065","-0,141","-0,009"
88,"-0,498","-0,051","-0,074","0,943","-0,060","-0,261","-0,042","-0,459","0,026","0,270","-0,003","-0,089","0,675","0,277","0,082","0,263","0,428","0,047","0,043","-0,131","0,004"
89,"-0,502","-0,086","-0,062","0,898","-0,073","-0,259","-0,061","-0,421","0,021","0,288","0,030","-0,090","0,646","0,274","0,074","0,251","0,438","0,045","0,043","-0,146","0,016"
90,"-0,505","-0,111","-0,049","0,871","-0,101","-0,257","-0,098","-0,453","0,013","0,218","0,046","-0,089","0,586","0,304","0,064","0,257","0,430","0,044","-0,022","-0,167","0,029"
91,"-0,484","-0,144","-0,041","0,833","-0,102","-0,254","-0,095","-0,409","0,010","0,202","0,042","-0,087","0,526","0,289","0,059","0,261","0,432","0,044","-0,075","-0,175","0,037"
92,"-0,450","-0,192","-0,042","0,825","-0,134","-0,250","-0,124","-0,343","0,011","0,192","0,069","-0,082","0,528","0,291","0,054","0,291","0,408","0,047","-0,035","-0,159","0,041"
93,"-0,385","-0,225","-0,051","0,791","-0,155","-0,247","-0,138","-0,326","0,015","0,191","0,006","-0,076","0,507","0,277","0,052","0,295","0,390","0,054","-0,014","-0,096","0,042"
94,"-0,374","-0,246","-0,066","0,751","-0,175","-0,243","-0,094","-0,273","0,022","0,184","-0,051","-0,070","0,504","0,305","0,053","0,236","0,363","0,063","0,037","-0,077","0,041"
95,"-0,298","-0,221","-0,079","0,749","-0,208","-0,239","-0,049","-0,252","0,025","0,108","-0,040","-0,067","0,539","0,328","0,055","0,278","0,312","0,071","0,038","-0,070","0,042"
96,"-0,242","-0,184","-0,091","0,768","-0,210","-0,234","-0,044","-0,260","0,024","0,093","-0,074","-0,062","0,588","0,306","0,058","0,319","0,261","0,078","0,034","-0,033","0,043"
97,"-0,235","-0,158","-0,097","0,786","-0,226","-0,227","-0,106","-0,277","0,018","0,100","-0,013","-0,061","0,614","0,288","0,062","0,375","0,228","0,081","0,063","-0,026","0,049"
98,"-0,190","-0,114","-0,097","0,774","-0,259","-0,222","-0,047","-0,249","0,010","0,091","-0,012","-0,063","0,619","0,294","0,062","0,375","0,150","0,083","0,097","0,031","0,059"
99,"-0,203","-0,041","-0,097","0,782","-0,232","-0,217","-0,062","-0,314","0,001","0,015","-0,003","-0,066","0,631","0,240","0,062","0,384","0,135","0,083","0,064","0,054","0,071"
100,"-0,221","-0,043","-0,093","0,733","-0,242","-0,213","-0,082","-0,255","-0,004","0,020","-0,019","-0,068","0,549","0,249","0,062","0,315","0,090","0,082","0,057","0,047","0,080"
101,"-0,237","-0,051","-0,088","0,692","-0,214","-0,210","-0,078","-0,249","-0,013","0,015","-0,057","-0,068","0,497","0,199","0,061","0,240","0,095","0,081","0,072","0,087","0,087"
102,"-0,221","-0,019","-0,081","0,664","-0,182","-0,207","-0,114","-0,295","-0,021","0,012","-0,062","-0,065","0,474","0,139","0,062","0,238","0,129","0,078","0,094","0,091","0,088"
103,"-0,249","-0,038","-0,079","0,658","-0,146","-0,206","-0,070","-0,271","-0,026","0,048","-0,024","-0,061","0,437","0,112","0,060","0,198","0,148","0,077","0,093","0,083","0,087"
104,"-0,265","-0,048","-0,079","0,634","-0,175","-0,205","-0,039","-0,205","-0,028","0,105","-0,042","-0,055","0,439","0,126","0,055","0,152","0,092","0,075","0,147","0,108","0,086"
105,"-0,262","-0,043","-0,087","0,637","-0,145","-0,204","0,006","-0,217","-0,028","0,165","-0,040","-0,045","0,411","0,092","0,053","0,131","0,096","0,076","0,143","0,112","0,082"
106,"-0,291","-0,008","-0,096","0,595","-0,130","-0,200","-0,058","-0,218","-0,025","0,164","-0,063","-0,037","0,368","0,121","0,053","0,096","0,081","0,074","0,170","0,074","0,079"
107,"-0,291","0,014","-0,108","0,604","-0,107","-0,196","-0,105","-0,256","-0,018","0,209","-0,097","-0,028","0,394","0,138","0,052","0,133","0,096","0,072","0,200","0,060","0,077"
108,"-0,243","0,042","-0,113","0,566","-0,086","-0,192","-0,103","-0,261","-0,016","0,168","-0,142","-0,024","0,364","0,163","0,048","0,111","0,094","0,071","0,176","0,033","0,084"
