Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
51,"-0,726","-0,151","0,010","0,967","-0,220","0,017","-0,295","-0,814","-0,022","-0,076","-0,774","-0,007","0,471","-0,107","0,023","0,235","0,218","0,005","-0,514","0,455","-0,017"
52,"-0,737","-0,386","0,010","1,006","0,120","0,018","-0,457","-0,316","-0,032","0,146","-0,179","-0,001","0,637","-0,761","0,042","0,573","0,590","0,010","-0,392","0,417","-0,043"
53,"-0,910","-0,192","0,001","1,323","-0,051","0,027","-0,559","-0,496","-0,041","-0,166","-0,367","0,024","0,754","-0,299","0,054","1,092","0,179","0,015","-0,571","0,453","-0,073"
54,"-0,824","-0,277","-0,008","1,019","0,075","0,033","-0,648","0,169","-0,049","-0,563","-0,152","0,059","0,772","-0,351","0,051","0,985","0,054","0,020","-0,571","0,509","-0,100"
55,"-0,748","0,357","-0,018","1,379","0,110","0,043","-0,776","-0,520","-0,052","-0,388","-0,638","0,087","1,470","-0,462","0,048","1,493","-0,207","0,013","-0,343","0,898","-0,119"
56,"-0,668","-0,054","-0,009","1,113","-0,088","0,060","-1,236","0,004","-0,055","-0,415","-0,620","0,106","1,541","-0,207","0,048","1,521","-0,284","0,001","0,135","0,520","-0,125"
57,"-0,707","0,037","-0,017","1,066","0,242","0,069","-1,488","-0,404","-0,055","-0,522","-0,610","0,122","1,158","-0,462","0,052","1,794","0,031","-0,014","-0,293","0,097","-0,133"
58,"-0,842","-0,298","-0,023","1,262","-0,059","0,093","-0,960","-0,289","-0,050","0,006","-0,244","0,139","1,022","-0,078","0,059","1,640","-0,190","-0,024","-0,297","-0,066","-0,146"
59,"-0,927","-0,298","-0,041","1,412","0,252","0,104","-1,255","-0,427","-0,035","-0,400","-0,336","0,167","1,000","-0,685","0,066","1,717","0,459","-0,044","-0,588","0,538","-0,171"
60,"-0,394","0,022","-0,062","1,214","-0,021","0,128","-1,255","-0,354","-0,025","-0,589","-0,350","0,203","0,845","-0,765","0,071","1,730","-0,076","-0,054","-0,560","1,214","-0,201"
61,"-0,960","0,307","-0,086","0,957","-0,236","0,150","-1,539","-0,691","-0,016","-0,742","-0,811","0,236","0,936","-0,565","0,078","1,264","-0,571","-0,066","-0,516","1,388","-0,232"
62,"-1,034","-0,222","-0,085","0,802","-0,537","0,173","-1,868","-0,106","-0,004","-0,818","-0,115","0,264","0,862","0,066","0,085","1,291","-0,586","-0,080","-0,539","0,713","-0,242"
63,"-0,395","-0,283","-0,094","0,717","-0,212","0,186","-1,354","-0,459","-0,004","-0,746","-0,779","0,286","0,880","0,062","0,088","1,519","-0,128","-0,096","-0,398","0,716","-0,255"
64,"-0,480","-0,108","-0,111","0,531","-0,499","0,205","-1,436","-0,767","0,005","-0,321","-0,338","0,317","0,479","0,604","0,080","0,995","-0,361","-0,110","-0,527","0,112","-0,258"
65,"-0,101","-0,357","-0,124","0,465","-0,171","0,216","-1,112","-0,226","0,018","-0,447","-0,543","0,350","0,308","-0,063","0,062","1,270","-0,127","-0,119","-0,428","0,703","-0,269"
66,"-0,410","-0,563","-0,143","0,577","-0,505","0,233","-1,658","-0,612","0,030","-0,358","-0,510","0,390","0,777","0,236","0,044","1,384","-0,114","-0,119","-0,046","0,374","-0,282"
67,"0,018","-0,564","-0,172","0,563","-0,170","0,241","-1,215","-0,073","0,047","-0,523","-0,129","0,438","1,061","0,099","0,035","1,584","-0,050","-0,119","-0,093","0,103","-0,311"
68,"0,021","-0,133","-0,206","0,606","0,165","0,253","-0,841","0,056","0,067","-0,640","-0,755","0,487","1,456","-0,201","0,033","1,359","0,067","-0,128","0,254","0,384","-0,348"
69,"-0,308","0,059","-0,233","0,678","-0,177","0,271","-0,815","0,068","0,089","-0,780","-0,708","0,539","1,320","0,403","0,024","1,117","-0,126","-0,134","-0,037","0,428","-0,388"
70,"-0,714","0,399","-0,244","0,363","-0,323","0,290","-0,788","0,069","0,101","-0,684","-0,590","0,590","1,345","0,443","0,025","0,458","-0,271","-0,153","0,126","0,215","-0,424"
71,"-0,767","0,433","-0,247","0,338","-0,305","0,309","-0,817","0,010","0,101","-0,654","-0,527","0,633","1,335","0,382","0,023","0,400","-0,256","-0,168","0,184","0,236","-0,449"
72,"-0,733","0,437","-0,250","0,349","-0,275","0,327","-0,822","0,017","0,095","-0,660","-0,442","0,672","1,330","0,322","0,020","0,425","-0,254","-0,173","0,184","0,212","-0,470"
73,"-0,695","0,426","-0,259","0,318","-0,257","0,344","-0,818","0,017","0,094","-0,646","-0,368","0,707","1,272","0,294","0,018","0,422","-0,254","-0,177","0,195","0,178","-0,490"
