Index,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z
2424,"0,042","0,135","0,988","0,005","-0,293","0,946","0,016","-0,070","0,958","-0,038","-0,013","0,966","0,066","0,013","0,912","-0,070","0,067","0,953","0,062","0,138","1,028"
2425,"0,030","0,125","0,990","0,004","-0,283","0,951","0,013","-0,070","0,975","-0,037","-0,006","0,969","0,082","0,003","0,916","-0,078","0,069","0,953","0,075","0,134","1,039"
2426,"0,022","0,134","0,996","0,005","-0,289","0,949","0,025","-0,068","0,973","-0,048","0,002","0,957","0,098","0,008","0,913","-0,077","0,072","0,956","0,073","0,126","1,042"
2427,"0,014","0,121","0,999","0,007","-0,284","0,951","0,012","-0,088","0,938","-0,027","0,018","0,952","0,116","0,008","0,907","-0,084","0,061","0,950","0,072","0,138","1,043"
2428,"0,014","0,123","0,998","0,004","-0,287","0,945","-0,028","-0,088","0,930","-0,061","0,028","0,958","0,127","0,012","0,900","-0,102","0,050","0,951","0,056","0,139","1,038"
2429,"0,009","0,117","0,999","0,003","-0,297","0,944","-0,043","-0,079","0,954","-0,044","0,006","0,958","0,129","0,011","0,904","-0,117","0,040","0,947","0,077","0,127","1,037"
2430,"0,014","0,118","1,007","0,004","-0,302","0,943","-0,019","-0,091","0,966","-0,024","-0,032","0,966","0,116","0,008","0,902","-0,125","0,039","0,945","0,086","0,116","1,036"
2431,"0,039","0,116","1,006","0,006","-0,298","0,947","0,009","-0,086","0,985","-0,011","-0,023","0,986","0,098","0,000","0,899","-0,138","0,037","0,947","0,074","0,123","1,025"
2432,"0,019","0,112","1,000","0,006","-0,293","0,947","0,048","-0,060","0,992","-0,018","-0,013","0,955","0,079","-0,005","0,883","-0,137","0,031","0,945","0,061","0,123","1,020"
2433,"0,033","0,110","0,999","0,007","-0,291","0,949","0,048","-0,065","0,957","-0,012","-0,011","0,952","0,060","-0,005","0,874","-0,118","0,047","0,953","0,064","0,111","1,018"
