Index,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z
468,"-0,028","0,025","1,000","-0,027","0,024","0,982","0,003","0,006","0,943","0,038","-0,053","0,953","-0,021","0,113","1,050","-0,031","0,086","1,020","-0,023","-0,047","1,034"
469,"-0,029","0,032","1,001","-0,025","0,022","0,986","-0,002","0,011","0,957","0,030","-0,038","0,966","-0,027","0,107","1,036","-0,043","0,095","1,023","-0,014","-0,035","1,042"
470,"-0,026","0,023","0,997","-0,031","0,023","0,986","-0,005","0,007","0,951","0,026","-0,052","0,959","-0,012","0,104","1,026","-0,045","0,092","1,018","-0,033","-0,030","1,031"
471,"-0,025","0,022","0,997","-0,029","0,026","0,990","0,000","0,005","0,952","0,033","-0,056","0,972","-0,007","0,118","1,036","-0,046","0,085","1,003","-0,023","-0,033","1,031"
472,"-0,040","0,019","1,002","-0,029","0,021","0,993","-0,012","0,000","0,948","0,024","-0,050","0,956","-0,013","0,126","1,031","-0,061","0,092","1,021","-0,026","-0,037","1,029"
473,"-0,056","0,015","1,002","-0,028","0,025","0,994","-0,003","0,000","0,949","0,017","-0,050","0,948","-0,028","0,128","1,029","-0,072","0,081","1,019","-0,043","-0,033","1,027"
474,"-0,059","0,020","1,005","-0,026","0,024","0,992","-0,004","-0,001","0,943","0,023","-0,047","0,957","-0,042","0,135","1,037","-0,074","0,072","1,011","-0,045","-0,028","1,040"
475,"-0,058","0,021","1,008","-0,029","0,029","0,992","-0,013","0,008","0,950","0,030","-0,050","0,961","-0,051","0,141","1,042","-0,072","0,087","1,025","-0,042","-0,032","1,053"
476,"-0,055","0,023","1,009","-0,023","0,029","0,997","-0,002","0,006","0,946","0,030","-0,055","0,954","-0,043","0,143","1,059","-0,065","0,084","1,017","-0,043","-0,037","1,058"
477,"-0,041","0,025","0,993","-0,018","0,037","1,003","-0,002","0,011","0,954","0,028","-0,050","0,964","-0,032","0,135","1,068","-0,056","0,065","1,019","-0,036","-0,037","1,071"
