Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
67,"0,071","-0,565","0,248","-2,569","-0,265","-0,154","1,396","-0,673","-0,650","-3,667","-2,147","0,136","-1,378","0,869","-0,225","-2,332","1,121","-0,398","6,919","-0,376","0,201"
68,"-0,192","-0,233","0,256","-2,354","-0,535","-0,156","1,385","-0,428","-0,654","-3,134","-2,588","0,013","-0,881","1,023","-0,203","-2,073","0,488","-0,390","7,385","0,012","0,189"
69,"-0,240","0,459","0,271","-2,436","-0,870","-0,156","1,261","-0,435","-0,668","-2,894","-2,980","-0,114","-0,796","1,049","-0,170","-2,109","-0,200","-0,379","7,434","0,636","0,206"
70,"0,174","1,027","0,328","-2,268","-0,571","-0,132","1,201","-0,706","-0,693","-2,751","-2,689","-0,163","-0,932","0,590","-0,123","-1,819","-0,213","-0,367","6,882","0,593","0,156"
71,"0,230","1,127","0,448","-2,245","-0,546","-0,123","1,195","-0,813","-0,759","-2,650","-2,565","-0,226","-0,937","0,582","-0,097","-1,796","-0,212","-0,355","6,857","0,559","0,103"
72,"0,310","1,244","0,620","-2,227","-0,524","-0,116","1,167","-0,937","-0,846","-2,560","-2,414","-0,289","-0,957","0,571","-0,079","-1,769","-0,214","-0,347","6,833","0,511","0,060"
73,"0,413","1,362","0,831","-2,208","-0,504","-0,112","1,123","-1,061","-0,929","-2,479","-2,300","-0,333","-0,984","0,559","-0,061","-1,743","-0,210","-0,336","6,795","0,469","0,030"
74,"0,553","1,467","1,062","-2,183","-0,485","-0,111","1,062","-1,194","-0,997","-2,403","-2,203","-0,374","-1,009","0,523","-0,043","-1,705","-0,186","-0,326","6,756","0,448","0,015"
75,"0,748","1,601","1,281","-2,146","-0,468","-0,113","0,981","-1,343","-1,029","-2,342","-2,104","-0,398","-1,015","0,464","-0,023","-1,635","-0,187","-0,320","6,705","0,453","0,008"
76,"0,980","1,742","1,488","-2,094","-0,460","-0,117","0,912","-1,506","-1,042","-2,297","-1,988","-0,422","-0,997","0,390","-0,006","-1,547","-0,196","-0,319","6,660","0,473","0,007"
77,"1,232","1,875","1,672","-2,043","-0,457","-0,118","0,881","-1,688","-1,068","-2,238","-1,833","-0,429","-0,982","0,321","0,005","-1,475","-0,198","-0,326","6,632","0,479","0,008"
78,"1,491","2,001","1,828","-1,999","-0,462","-0,119","0,879","-1,874","-1,088","-2,127","-1,639","-0,423","-0,990","0,268","0,004","-1,427","-0,204","-0,340","6,590","0,474","0,015"
79,"1,742","2,110","1,933","-1,961","-0,471","-0,124","0,920","-2,057","-1,083","-1,977","-1,428","-0,401","-1,020","0,231","-0,010","-1,405","-0,208","-0,354","6,526","0,448","0,009"
80,"1,973","2,196","1,987","-1,930","-0,481","-0,130","1,048","-2,225","-1,049","-1,815","-1,245","-0,358","-1,071","0,201","-0,028","-1,416","-0,210","-0,367","6,471","0,420","-0,012"
81,"2,088","2,263","2,018","-1,906","-0,497","-0,139","1,148","-2,336","-1,006","-1,666","-1,114","-0,306","-1,138","0,184","-0,045","-1,467","-0,219","-0,370","6,418","0,406","-0,044"
82,"2,161","2,310","2,044","-1,890","-0,515","-0,148","1,280","-2,429","-0,978","-1,494","-0,998","-0,260","-1,218","0,174","-0,053","-1,554","-0,233","-0,364","6,362","0,397","-0,083"
83,"2,189","2,348","2,058","-1,873","-0,532","-0,153","1,432","-2,501","-0,952","-1,296","-0,882","-0,228","-1,292","0,160","-0,048","-1,654","-0,254","-0,356","6,312","0,398","-0,136"
84,"2,175","2,385","2,056","-1,860","-0,548","-0,154","1,603","-2,535","-0,938","-1,144","-0,749","-0,196","-1,360","0,163","-0,026","-1,756","-0,290","-0,345","6,220","0,385","-0,212"
85,"2,116","2,383","2,029","-1,858","-0,564","-0,149","1,811","-2,512","-0,921","-1,012","-0,583","-0,165","-1,434","0,193","0,010","-1,861","-0,321","-0,337","6,125","0,333","-0,307"
86,"1,996","2,324","1,978","-1,866","-0,570","-0,141","2,026","-2,428","-0,901","-0,883","-0,392","-0,144","-1,509","0,243","0,055","-1,971","-0,324","-0,328","6,032","0,232","-0,412"
87,"1,813","2,224","1,925","-1,880","-0,567","-0,131","2,139","-2,312","-0,859","-0,770","-0,202","-0,142","-1,582","0,311","0,104","-2,087","-0,306","-0,314","5,945","0,105","-0,513"
88,"1,604","2,154","1,860","-1,902","-0,545","-0,125","2,134","-2,199","-0,812","-0,675","-0,017","-0,145","-1,665","0,376","0,151","-2,210","-0,270","-0,291","5,851","-0,048","-0,604"
