Index,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z
44,"-0,005","0,383","0,001","0,391","0,174","0,409","0,792","0,174","-0,001","0,077","0,481","0,001","-0,028","-0,153","-0,001","0,025","-0,328","-0,001","-0,112","-0,287","-0,001"
45,"-0,004","0,391","0,001","0,391","0,133","0,409","0,793","0,124","-0,001","0,018","0,185","0,000","-0,045","-0,114","0,000","0,025","-0,326","-0,001","-0,129","-0,286","-0,001"
46,"-0,108","0,390","0,000","0,380","0,133","0,409","0,689","0,064","-0,001","-0,102","0,271","0,001","-0,040","-0,112","0,000","0,015","-0,325","-0,001","-0,233","-0,126","0,000"
47,"-0,003","0,337","0,001","0,382","-0,005","0,409","0,662","0,059","-0,001","-0,023","0,271","0,001","-0,056","0,026","0,000","0,016","-0,405","-0,001","-0,130","-0,126","0,000"
48,"0,103","0,332","0,001","0,371","-0,005","0,409","0,705","0,064","-0,001","-0,022","0,245","0,001","-0,049","0,036","0,000","0,112","-0,405","-0,001","-0,113","-0,061","0,000"
49,"0,104","0,290","0,001","0,372","-0,005","0,409","0,695","0,069","-0,001","-0,022","0,245","0,001","-0,049","0,036","0,000","0,113","-0,358","-0,001","-0,114","-0,061","0,000"
50,"0,088","0,291","0,001","0,280","-0,005","0,409","0,690","0,069","-0,001","0,018","0,119","0,000","-0,043","0,045","0,000","0,021","-0,358","-0,001","-0,015","0,110","0,000"
51,"-0,173","0,063","0,003","0,420","0,310","0,417","0,021","-0,095","0,002","0,226","0,043","-0,004","0,318","-0,001","0,010","0,231","0,293","-0,014","0,416","-0,425","-0,002"
52,"0,125","-0,180","0,004","0,106","0,162","0,424","0,542","0,092","0,006","0,001","0,314","-0,007","0,211","0,423","0,017","-0,114","0,488","-0,025","0,282","-0,644","0,001"
53,"-0,306","0,067","0,001","-0,185","0,366","0,432","0,401","-0,102","0,017","-0,325","0,698","-0,010","0,243","0,096","0,028","-0,500","0,359","-0,035","0,259","-0,561","0,004"
54,"0,222","0,469","-0,001","-0,087","0,046","0,438","0,373","-0,243","0,026","0,035","0,152","-0,006","-0,004","0,439","0,035","-0,194","-0,238","-0,050","0,011","-0,253","0,000"
55,"0,455","0,795","0,001","-0,275","0,348","0,445","0,530","-0,777","0,032","-0,614","0,232","0,002","0,148","0,221","0,043","-0,035","0,066","-0,061","0,034","-0,494","-0,010"
56,"0,143","0,184","-0,001","-0,519","0,102","0,448","0,507","-0,167","0,030","-0,417","-0,217","0,006","-0,263","0,168","0,050","-0,418","0,135","-0,068","0,188","-0,069","-0,022"
57,"0,472","0,792","0,003","-0,187","0,134","0,453","0,441","-0,207","0,030","0,124","-0,349","0,011","0,238","-0,162","0,061","0,082","-0,138","-0,077","0,576","0,492","-0,030"
58,"-0,185","0,671","0,002","-0,475","0,341","0,461","-0,180","-0,220","0,027","-0,491","-0,118","0,005","-0,315","-0,157","0,068","-0,548","0,052","-0,085","0,038","0,062","-0,031"
59,"0,202","0,178","0,006","-0,201","0,150","0,467","0,157","0,343","0,032","-0,378","0,536","0,010","0,211","0,273","0,079","0,025","0,021","-0,100","0,427","-0,487","-0,032"
60,"0,147","0,298","0,010","0,118","0,044","0,473","0,537","-0,188","0,039","-0,425","0,464","0,007","0,521","0,726","0,088","0,008","-0,004","-0,112","0,120","-0,998","-0,030"
61,"-0,001","-0,128","0,013","-0,211","0,166","0,476","0,460","-0,304","0,042","-0,565","0,302","0,005","0,106","0,271","0,099","-0,150","0,418","-0,119","0,209","-0,371","-0,036"
62,"0,059","0,033","0,012","0,046","0,391","0,480","0,776","0,075","0,044","-0,616","0,018","0,002","0,284","-0,281","0,110","-0,173","0,443","-0,126","-0,209","0,044","-0,035"
63,"0,064","0,042","0,014","-0,003","0,052","0,482","0,219","0,011","0,045","-0,710","0,092","-0,001","0,563","-0,038","0,113","0,036","0,325","-0,132","0,303","-0,149","-0,031"
64,"-0,220","-0,131","0,015","-0,097","0,386","0,482","0,200","0,010","0,046","-0,573","0,439","0,000","0,195","-0,172","0,116","-0,355","0,489","-0,134","0,363","-0,421","-0,031"
65,"0,091","0,451","0,016","0,236","0,392","0,479","0,169","-0,029","0,050","-0,039","0,785","-0,002","0,191","-0,106","0,117","0,040","0,148","-0,138","0,223","-0,772","-0,032"
66,"-0,292","0,006","0,013","-0,108","0,315","0,478","0,152","0,233","0,055","-0,026","0,165","-0,002","-0,362","-0,301","0,113","-0,361","0,406","-0,137","-0,121","-0,190","-0,031"
67,"0,232","0,393","0,010","-0,275","0,011","0,476","0,766","-0,058","0,063","0,087","0,596","-0,001","-0,655","-0,316","0,111","-0,341","-0,191","-0,139","0,067","-0,022","-0,028"
68,"0,706","-0,038","0,005","-0,055","0,273","0,476","0,828","-0,154","0,068","0,432","0,172","-0,003","-0,541","-0,250","0,108","0,030","0,372","-0,140","-0,029","-0,001","-0,026"
69,"0,415","0,375","0,009","0,105","0,576","0,475","0,458","0,119","0,066","0,069","-0,212","0,003","-0,245","-0,870","0,102","0,235","0,330","-0,141","-0,232","0,362","-0,030"
70,"0,526","1,052","0,013","0,244","0,260","0,476","0,358","-0,503","0,067","0,179","0,125","0,009","0,141","-0,311","0,102","0,391","-0,334","-0,138","0,355","0,049","-0,031"
71,"0,469","1,013","0,010","0,218","0,287","0,476","0,333","-0,458","0,069","0,173","0,139","0,012","0,096","-0,304","0,096","0,339","-0,285","-0,135","0,302","0,028","-0,031"
72,"0,406","0,986","0,011","0,176","0,286","0,479","0,331","-0,450","0,067","0,105","0,140","0,015","0,045","-0,263","0,094","0,270","-0,262","-0,135","0,256","-0,003","-0,028"
73,"0,351","0,941","0,011","0,135","0,293","0,483","0,298","-0,404","0,067","0,060","0,167","0,011","-0,003","-0,231","0,091","0,204","-0,229","-0,135","0,208","-0,034","-0,018"
74,"0,305","0,911","0,009","0,119","0,326","0,487","0,321","-0,358","0,065","0,111","0,174","0,007","-0,022","-0,226","0,087","0,150","-0,202","-0,132","0,231","-0,055","-0,006"
75,"0,258","0,893","0,005","0,092","0,307","0,489","0,335","-0,353","0,064","0,054","0,126","0,007","-0,049","-0,172","0,080","0,090","-0,236","-0,127","0,201","-0,064","0,001"
76,"0,239","0,882","0,002","0,070","0,332","0,489","0,369","-0,345","0,062","0,037","0,110","0,005","-0,073","-0,165","0,072","0,041","-0,233","-0,122","0,161","-0,104","0,010"
77,"0,221","0,870","-0,005","0,096","0,357","0,490","0,404","-0,291","0,063","0,019","0,061","0,007","-0,050","-0,156","0,065","0,044","-0,233","-0,118","0,126","-0,113","0,015"
78,"0,200","0,867","-0,013","0,062","0,348","0,491","0,413","-0,228","0,069","-0,029","0,096","0,012","-0,059","-0,130","0,061","0,000","-0,273","-0,113","0,115","-0,127","0,013"
79,"0,240","0,861","-0,021","0,031","0,332","0,491","0,450","-0,172","0,074","-0,070","0,149","0,020","-0,058","-0,123","0,054","-0,009","-0,313","-0,110","0,115","-0,133","0,010"
80,"0,259","0,852","-0,028","-0,001","0,338","0,491","0,470","-0,166","0,081","-0,091","0,105","0,029","-0,067","-0,108","0,048","-0,022","-0,331","-0,107","0,105","-0,139","0,005"
81,"0,268","0,849","-0,034","0,006","0,304","0,487","0,493","-0,131","0,086","-0,134","0,127","0,039","-0,024","-0,066","0,038","0,000","-0,391","-0,101","0,105","-0,138","0,001"
82,"0,260","0,795","-0,033","-0,019","0,284","0,483","0,514","-0,137","0,088","-0,174","0,063","0,046","-0,012","-0,041","0,028","-0,046","-0,381","-0,099","0,126","-0,111","0,001"
83,"0,259","0,728","-0,025","-0,046","0,265","0,480","0,534","-0,126","0,086","-0,173","0,000","0,055","-0,024","0,008","0,019","-0,068","-0,358","-0,100","0,142","-0,109","-0,002"
84,"0,284","0,739","-0,016","-0,075","0,247","0,477","0,523","-0,094","0,083","-0,160","0,007","0,058","-0,045","0,059","0,012","-0,099","-0,399","-0,103","0,167","-0,114","-0,001"
85,"0,231","0,692","-0,009","-0,109","0,253","0,474","0,491","-0,046","0,082","-0,209","0,004","0,057","-0,071","0,082","0,005","-0,156","-0,357","-0,105","0,154","-0,120","0,004"
86,"0,206","0,684","-0,003","-0,093","0,221","0,469","0,464","-0,047","0,082","-0,209","0,000","0,053","-0,057","0,143","0,000","-0,143","-0,344","-0,106","0,152","-0,116","0,011"
87,"0,206","0,681","0,004","-0,075","0,192","0,464","0,475","-0,061","0,084","-0,199","-0,017","0,044","-0,043","0,201","-0,004","-0,124","-0,325","-0,107","0,127","-0,117","0,021"
88,"0,160","0,652","0,008","-0,096","0,160","0,458","0,466","-0,072","0,087","-0,184","-0,057","0,037","-0,075","0,261","-0,004","-0,153","-0,313","-0,109","0,095","-0,116","0,026"
89,"0,126","0,636","0,013","-0,084","0,124","0,453","0,399","-0,081","0,090","-0,212","-0,118","0,031","-0,056","0,322","-0,003","-0,144","-0,305","-0,111","0,076","-0,125","0,028"
