Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
55,"-0,689","-0,455","-1,077","-0,048","0,243","0,550","0,154","-0,926","0,588","0,233","0,036","-0,122","-0,441","-0,246","0,497","-0,119","-0,062","0,578","-0,218","0,091","1,764"
56,"-0,639","-0,426","-1,271","-0,043","0,069","0,632","0,161","-1,208","0,733","0,210","-0,009","-0,089","-1,071","-0,130","0,133","-0,568","-0,102","0,741","-0,540","0,048","1,177"
57,"-0,411","-0,409","-1,536","0,209","0,021","0,743","0,035","-1,457","0,872","0,199","0,029","-0,043","-1,413","-0,191","0,389","-0,970","-0,190","0,525","-0,483","-0,044","0,443"
58,"-0,335","-0,652","-2,243","0,204","-0,047","0,689","0,049","-1,774","1,280","0,013","0,205","-0,154","-1,478","0,171","1,231","-1,095","-0,022","0,018","-0,493","-0,068","0,577"
59,"-0,377","-0,822","-2,894","0,126","-0,015","0,445","0,122","-1,814","1,301","0,364","-0,128","-0,033","-0,869","0,541","1,203","-0,966","-0,360","-0,961","-0,545","-0,103","0,455"
60,"-0,130","-0,755","-2,858","0,052","0,024","0,261","0,055","-2,056","1,425","-0,044","0,152","-0,042","-1,041","0,177","0,741","-0,770","-0,409","-1,048","-0,470","-0,155","0,285"
61,"-0,046","-0,797","-3,476","0,121","0,038","0,377","0,033","-1,997","1,617","-0,013","-0,028","-0,045","-0,777","0,047","0,641","-0,684","-0,219","-0,787","-0,423","-0,043","0,447"
62,"-0,008","-0,918","-3,830","-0,100","0,137","0,690","0,386","-2,200","1,412","0,108","-0,090","-0,045","-0,102","-0,239","0,268","-1,104","0,230","-0,446","-0,477","0,056","0,350"
63,"-0,110","-0,746","-3,543","-0,399","0,087","0,780","0,159","-2,240","1,242","-0,158","-0,012","-0,012","-0,821","-0,482","-0,270","-1,320","-0,182","-0,617","-0,483","0,015","0,425"
64,"0,168","-0,479","-3,047","-0,769","0,143","0,739","0,278","-1,832","0,899","0,051","-0,142","0,067","-0,883","-0,293","-0,307","-1,560","-0,132","-0,674","-0,395","0,020","0,877"
65,"0,338","-0,531","-2,244","-0,908","0,054","0,513","0,417","-1,385","0,915","-0,005","-0,254","-0,015","-0,908","-0,350","-0,558","-1,596","-0,314","-1,341","-0,548","0,031","0,479"
66,"0,711","-0,414","-1,172","-0,930","0,018","0,211","-0,154","-1,161","0,507","-0,027","-0,177","0,077","-1,015","0,008","0,140","-1,711","-0,589","-1,360","-0,370","-0,118","-0,228"
67,"0,639","-0,162","-0,405","-0,878","-0,178","0,108","-0,140","-0,324","0,465","-0,024","0,011","0,001","-0,159","0,531","0,971","-1,556","-0,616","-1,121","-0,348","-0,263","-0,502"
68,"0,657","-0,232","-0,085","-0,696","-0,301","0,109","-0,059","-0,129","0,377","-0,035","0,049","0,047","-0,645","0,322","0,520","-1,521","-0,052","-0,503","-0,829","-0,227","-0,615"
69,"0,544","-0,090","0,023","-0,439","-0,100","0,251","-0,374","-0,279","0,308","-0,044","0,152","-0,042","-0,964","0,228","0,173","-1,573","0,447","0,818","-0,581","-0,242","-0,655"
70,"0,251","-0,157","-0,753","-0,318","-0,222","0,256","-0,449","-0,312","0,502","-0,011","0,218","0,072","-1,191","0,112","0,060","-1,694","0,602","1,273","-0,664","-0,038","-0,403"
71,"-0,098","-0,213","-1,465","-0,396","-0,008","-0,010","-0,162","-0,510","0,539","0,044","0,207","0,095","-1,522","-0,394","-0,561","-1,225","-0,053","0,084","-0,527","-0,031","-0,586"
72,"-0,269","-0,060","-1,293","-0,396","0,052","-0,017","-0,184","-0,378","0,515","0,078","0,214","0,016","-1,299","-0,282","-0,861","-0,853","-0,331","-0,892","-0,534","-0,131","-0,493"
73,"-0,375","0,102","-1,066","-0,536","0,145","-0,264","-0,021","-0,678","0,259","0,144","0,041","-0,066","-0,453","-0,013","-0,800","-0,092","-0,065","-1,123","-0,729","-0,022","-0,349"
74,"-0,489","0,124","-0,939","-0,993","0,219","-0,670","0,308","-0,895","0,462","0,232","0,095","0,072","0,125","0,172","-0,116","0,298","-0,218","-1,270","-0,519","-0,124","-0,685"
75,"-0,467","-0,098","-1,522","-1,193","0,131","-0,891","0,220","-1,127","0,503","0,065","0,006","-0,055","-0,562","0,763","0,721","-0,552","0,058","-0,903","-0,504","-0,118","-0,877"
76,"-0,417","-0,290","-2,670","-1,128","0,199","-0,843","0,316","-1,619","0,645","0,231","-0,028","0,013","-0,847","0,699","0,572","-0,638","0,272","-0,745","-0,513","-0,025","-0,778"
77,"-0,238","-0,122","-2,772","-1,058","0,213","-0,726","0,242","-1,260","0,526","0,208","-0,074","0,046","-1,502","0,426","-0,425","-1,164","0,632","-0,035","-0,368","-0,111","-1,060"
78,"-0,227","-0,152","-2,582","-0,910","0,255","-0,373","0,594","-0,971","0,558","0,125","0,305","-0,050","-1,685","0,036","-0,806","-1,510","0,346","0,330","-0,524","-0,107","-0,626"
79,"0,054","-0,115","-1,986","-0,844","0,262","-0,317","0,366","-0,962","0,663","0,254","0,018","-0,020","-1,354","-0,034","-0,512","-1,166","-0,018","-0,403","-0,532","-0,014","-0,527"
80,"0,137","-0,236","-1,599","-0,662","0,139","-0,316","0,249","-1,296","0,790","0,122","0,118","0,026","-0,727","0,090","-0,619","-0,939","0,231","-0,289","-0,784","0,019","-0,429"
81,"0,008","-0,315","-1,702","-0,610","0,064","-0,434","0,505","-1,473","0,971","0,254","0,076","0,174","-0,164","0,349","-0,735","-0,581","0,129","-0,191","-0,505","-0,176","-0,860"
82,"-0,026","-0,003","-1,318","-0,624","-0,200","-0,586","0,279","-1,317","0,645","-0,010","0,341","0,131","-0,085","0,386","0,019","-0,301","0,249","-0,484","-0,612","-0,171","-1,061"
83,"-0,295","0,332","-0,800","-0,563","-0,261","-0,583","0,376","-0,580","0,122","0,055","0,168","0,049","-0,140","0,634","0,368","-0,647","0,400","-0,195","-0,518","-0,234","-1,482"
84,"-0,192","0,220","-1,097","-0,572","-0,337","-0,696","0,528","-0,254","0,389","-0,077","0,268","0,096","-0,879","0,111","-0,860","-1,010","0,393","-0,240","-0,518","-0,234","-1,482"
85,"-0,262","-0,040","-1,173","-0,563","-0,140","-0,597","0,272","-0,396","0,305","0,085","-0,135","-0,012","-1,410","-0,399","-1,371","-1,150","0,176","-0,563","-0,484","-0,071","-1,145"
86,"-0,204","0,009","-1,247","-0,376","0,047","-0,572","0,147","-0,645","0,443","0,122","0,118","0,026","-1,151","-0,203","-1,501","-0,807","-0,434","-1,245","-0,357","-0,028","-1,211"
87,"-0,150","0,169","-1,401","-0,615","0,117","-0,501","0,197","-0,946","0,754","0,065","0,065","0,138","-0,779","0,061","-0,681","-0,792","0,265","-0,490","-0,462","-0,048","-0,639"
88,"0,020","0,016","-1,572","-0,806","0,346","-0,638","0,094","-1,327","0,916","0,231","-0,028","0,013","-1,042","0,472","0,244","-1,647","0,431","-0,070","-0,782","0,194","-0,481"
