Index,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
1153,"0,998","0,017","0,048","0,031","0,999","0,023","0,027","-0,006","1,000","-0,014","0,004","0,000","0,642","-0,695","0,313","0,088","0,982","0,185","0,028","-0,008","0,999","-0,016","0,047","-0,015","0,806","-0,587","0,015","0,073"
1154,"0,998","0,017","0,048","0,034","0,999","0,023","0,027","-0,006","1,000","-0,013","0,002","0,000","0,642","-0,695","0,313","0,089","0,982","0,185","0,028","-0,008","0,999","-0,015","0,047","-0,013","0,806","-0,587","0,015","0,073"
1155,"0,998","0,017","0,048","0,036","0,999","0,023","0,027","-0,006","1,000","-0,012","0,001","0,000","0,641","-0,695","0,313","0,089","0,982","0,185","0,028","-0,008","0,999","-0,014","0,047","-0,012","0,806","-0,587","0,015","0,073"
1156,"0,998","0,017","0,049","0,037","0,999","0,023","0,027","-0,005","1,000","-0,011","0,001","0,000","0,642","-0,694","0,314","0,089","0,982","0,185","0,028","-0,008","0,999","-0,014","0,047","-0,012","0,806","-0,587","0,015","0,073"
1157,"0,998","0,016","0,049","0,039","0,999","0,023","0,027","-0,005","1,000","-0,010","0,000","0,000","0,642","-0,694","0,314","0,089","0,982","0,185","0,029","-0,009","0,999","-0,014","0,047","-0,011","0,806","-0,587","0,015","0,073"
1158,"0,998","0,016","0,049","0,040","0,999","0,024","0,026","-0,005","1,000","-0,009","0,000","0,000","0,642","-0,694","0,314","0,089","0,982","0,185","0,029","-0,009","0,999","-0,014","0,047","-0,011","0,806","-0,587","0,015","0,073"
1159,"0,998","0,016","0,049","0,041","0,999","0,024","0,026","-0,005","1,000","-0,009","-0,001","0,000","0,642","-0,694","0,314","0,090","0,982","0,185","0,029","-0,008","0,999","-0,014","0,047","-0,011","0,806","-0,587","0,015","0,073"
1160,"0,998","0,015","0,049","0,042","0,999","0,024","0,026","-0,005","1,000","-0,008","-0,001","0,000","0,642","-0,694","0,314","0,090","0,982","0,185","0,030","-0,008","0,999","-0,014","0,047","-0,011","0,806","-0,587","0,015","0,073"
1161,"0,998","0,015","0,049","0,042","0,999","0,025","0,026","-0,004","1,000","-0,008","-0,001","-0,001","0,642","-0,694","0,313","0,090","0,982","0,185","0,030","-0,008","0,999","-0,015","0,047","-0,011","0,807","-0,586","0,015","0,073"
1162,"0,998","0,015","0,049","0,041","0,999","0,025","0,025","-0,004","1,000","-0,008","-0,001","-0,001","0,643","-0,693","0,313","0,090","0,982","0,185","0,030","-0,007","0,999","-0,015","0,047","-0,011","0,807","-0,586","0,015","0,073"
