Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
94,"-0,173","0,381","0,743","1,868","0,015","-0,017","-0,212","1,574","-1,051","-0,719","-2,875","0,844","2,617","-0,214","-1,132","0,280","-0,002","-1,315","-4,197","-1,434","-5,020"
95,"-0,004","0,220","0,512","1,976","-0,132","-0,190","-0,248","1,630","-1,170","-0,939","-2,022","0,649","2,002","-0,441","-1,530","0,538","-0,232","-0,907","-3,604","-1,460","-5,740"
96,"0,062","-0,009","-0,568","2,215","-0,323","-0,242","-0,016","1,513","-0,794","-0,049","-1,686","0,254","1,458","-0,636","-1,999","0,388","-0,086","-1,195","-2,914","-0,955","-5,081"
97,"0,054","0,144","-0,777","2,202","-0,409","-0,415","-0,183","1,479","-0,979","0,300","-0,672","0,217","1,612","-0,363","-1,830","0,982","-0,234","-2,390","-2,192","-0,623","-3,925"
98,"0,138","0,388","-0,386","2,128","-0,312","-0,608","-0,051","1,323","-1,030","0,158","0,339","0,069","1,957","-0,055","-1,717","1,044","-0,424","-2,364","-1,555","-0,171","-2,363"
99,"0,082","0,227","-0,235","2,102","-0,362","-0,969","0,011","1,347","-0,506","0,138","0,914","0,071","2,590","-0,193","-0,943","1,085","0,077","-1,370","-0,969","0,171","-0,963"
100,"0,108","0,004","-0,881","1,654","-0,339","-1,248","0,073","0,738","-0,812","0,560","0,787","-0,048","2,202","0,178","-0,021","0,395","0,081","-1,268","-0,539","0,508","-0,017"
101,"0,084","-0,010","-1,372","0,920","-0,401","-1,249","-0,348","0,701","-0,485","0,516","0,694","0,018","0,499","0,360","-0,642","0,841","0,203","-1,864","-0,698","0,561","0,594"
102,"0,149","0,179","-1,343","0,720","-0,251","-1,502","0,161","0,651","-0,755","0,470","0,732","-0,185","-0,188","0,169","-1,406","0,585","-0,447","-2,150","-0,143","0,532","0,510"
103,"-0,168","0,086","-1,559","0,585","-0,033","-1,707","0,076","0,631","-0,333","0,857","0,351","-0,342","-0,930","-0,227","-1,744","0,888","-0,125","-1,241","0,767","0,616","0,605"
104,"0,075","0,022","-1,562","0,512","0,184","-1,917","-0,210","0,069","-0,231","0,649","1,036","-0,315","-1,003","0,113","-1,303","0,820","0,146","-1,236","1,431","0,831","0,710"
105,"0,138","-0,090","-1,486","0,698","0,251","-1,878","-0,167","-0,073","-0,123","0,549","1,330","-0,421","-0,916","0,219","-1,067","1,010","0,120","-1,736","1,931","1,059","1,502"
106,"0,231","-0,296","-2,015","0,772","0,457","-1,726","-0,096","-0,062","0,173","0,648","1,353","-0,659","-0,938","0,531","-0,536","0,188","0,028","-2,014","2,295","1,237","2,555"
107,"0,052","-0,224","-1,955","0,742","0,516","-1,300","-0,374","-0,195","0,006","0,771","1,228","-0,527","-0,442","0,620","0,722","0,244","0,233","-1,088","2,202","1,449","3,059"
108,"0,084","-0,010","-1,372","0,581","0,378","-0,961","-0,541","0,212","-0,220","-0,141","1,222","-0,250","-0,109","0,596","0,988","0,394","0,335","-0,843","1,923","0,918","1,670"
109,"0,109","0,184","-0,909","0,195","0,215","-0,355","-0,093","0,648","-0,242","0,168","0,431","-0,246","-0,832","0,451","0,468","0,798","-0,158","-0,566","1,933","0,399","0,550"
110,"0,219","-0,147","-1,049","0,217","0,136","-0,037","-0,492","0,356","0,052","0,367","0,095","-0,243","-0,714","0,094","-0,298","0,320","-0,497","-0,618","2,087","0,596","1,011"
111,"0,491","-0,067","-0,519","-0,005","-0,002","0,306","-1,048","0,335","-0,166","0,283","1,152","-0,174","-0,693","0,032","0,006","0,626","-0,125","-0,201","2,084","0,672","1,052"
