Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
492,"-0,959","-0,642","-0,596","-0,160","-0,546","-0,948","-0,309","0,050","-0,175","1,022","0,357","-0,108","-0,579","-0,402","-0,960","-1,447","-0,598","-0,943","-1,546","-1,557","-0,243"
493,"-0,748","-0,643","-1,114","-0,151","-0,284","-0,873","-0,237","0,131","-0,092","0,077","0,212","-0,110","-1,674","-0,195","0,189","-1,138","-1,208","-1,742","-1,650","-1,074","0,276"
494,"-0,894","-0,788","-1,446","-0,277","-0,233","-0,935","-0,106","-0,028","-0,143","-0,226","0,339","-0,117","-1,903","0,036","0,880","-1,414","-1,371","-1,566","-1,425","-0,787","0,505"
495,"-0,915","-0,582","-0,866","-0,390","-0,150","-0,817","-0,204","0,194","0,087","0,042","0,391","-0,103","-1,371","-0,330","0,690","-1,219","-1,088","-1,040","-1,315","-0,851","0,673"
496,"-0,737","-0,439","-0,032","-0,694","-0,206","-0,785","-0,206","-0,051","-0,034","0,545","0,364","-0,055","-1,357","-0,226","1,429","-1,093","-0,787","-1,114","-1,351","-0,528","1,131"
497,"-0,673","-0,088","0,884","-0,746","-0,303","-0,639","-0,191","0,062","-0,201","0,771","0,322","0,026","-1,232","-0,129","1,825","-0,625","-0,746","-1,608","-1,266","-0,532","0,808"
498,"-0,697","-0,175","0,530","-0,989","-0,540","-0,578","-0,367","0,289","-0,042","0,488","0,375","-0,075","-0,840","-0,153","1,248","-0,949","-0,941","-1,495","-1,099","-0,710","0,233"
499,"-0,798","-0,202","-0,086","-1,172","-0,538","-0,565","-0,367","0,289","-0,042","0,442","0,347","-0,142","-1,360","-0,124","0,560","-0,867","-0,998","-1,587","-0,960","-0,610","0,004"
500,"-0,587","-0,263","-0,589","-1,102","-0,457","-0,460","-0,283","0,199","0,016","0,091","0,326","-0,277","-1,920","0,068","0,127","-0,941","-1,024","-1,517","-0,803","-0,797","-0,436"
501,"-0,583","-0,130","-0,559","-0,711","-0,276","-0,149","-0,282","0,321","0,077","0,123","0,457","-0,296","-1,510","0,030","-0,585","-0,729","-1,007","-1,337","-0,810","-0,502","-0,361"
