Index,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
243,"1,000","0,002","0,004","0,004","1,000","0,001","0,002","-0,001","1,000","0,001","0,004","-0,003","1,000","-0,001","-0,001","0,000","1,000","0,004","0,002","0,001","1,000","0,000","0,003","0,003","1,000","0,000","0,003","-0,015"
244,"1,000","0,002","0,003","0,004","1,000","0,002","0,002","-0,001","1,000","0,001","0,004","-0,003","1,000","-0,001","-0,001","0,000","1,000","0,004","0,002","0,001","1,000","-0,001","0,003","0,003","1,000","0,000","0,003","-0,016"
245,"1,000","0,002","0,003","0,004","1,000","0,001","0,002","-0,001","1,000","0,001","0,004","-0,003","1,000","-0,001","-0,001","0,000","1,000","0,004","0,002","0,001","1,000","0,000","0,003","0,003","1,000","-0,001","0,003","-0,016"
246,"1,000","0,002","0,003","0,004","1,000","0,002","0,002","-0,001","1,000","0,001","0,004","-0,003","1,000","-0,001","-0,001","0,000","1,000","0,003","0,002","0,001","1,000","-0,001","0,003","0,003","1,000","-0,001","0,003","-0,016"
247,"1,000","0,002","0,003","0,004","1,000","0,002","0,002","-0,001","1,000","0,001","0,004","-0,003","1,000","-0,001","-0,001","0,000","1,000","0,004","0,002","0,001","1,000","-0,001","0,003","0,003","1,000","-0,001","0,003","-0,016"
248,"1,000","0,002","0,003","0,004","1,000","0,002","0,002","-0,001","1,000","0,001","0,004","-0,003","1,000","-0,001","-0,001","0,000","1,000","0,003","0,003","0,001","1,000","-0,001","0,003","0,003","1,000","-0,002","0,003","-0,016"
249,"1,000","0,001","0,003","0,004","1,000","0,003","0,002","-0,001","1,000","0,000","0,004","-0,003","1,000","0,000","-0,001","0,000","1,000","0,004","0,003","0,001","1,000","-0,001","0,003","0,003","1,000","-0,002","0,004","-0,016"
250,"1,000","0,002","0,003","0,003","1,000","0,002","0,002","-0,001","1,000","0,001","0,004","-0,003","1,000","0,000","-0,002","0,000","1,000","0,004","0,003","0,001","1,000","-0,001","0,003","0,003","1,000","-0,001","0,003","-0,017"
251,"1,000","0,002","0,003","0,003","1,000","0,002","0,002","-0,001","1,000","0,001","0,004","-0,003","1,000","0,000","-0,001","0,000","1,000","0,004","0,003","0,001","1,000","-0,002","0,003","0,003","1,000","-0,001","0,003","-0,017"
252,"1,000","0,002","0,003","0,003","1,000","0,002","0,002","-0,001","1,000","0,001","0,004","-0,003","1,000","0,000","-0,001","0,000","1,000","0,004","0,003","0,001","1,000","-0,001","0,003","0,003","1,000","-0,002","0,003","-0,017"
253,"1,000","0,002","0,003","0,003","1,000","0,002","0,002","-0,001","1,000","0,001","0,004","-0,003","1,000","0,000","-0,002","0,000","1,000","0,003","0,003","0,001","1,000","-0,001","0,003","0,003","1,000","-0,002","0,003","-0,017"
254,"1,000","0,002","0,004","0,003","1,000","0,002","0,001","-0,001","1,000","0,001","0,004","-0,003","1,000","0,000","-0,001","0,000","1,000","0,003","0,003","0,001","1,000","-0,001","0,003","0,003","1,000","-0,002","0,004","-0,017"
255,"1,000","0,002","0,004","0,003","1,000","0,002","0,001","-0,001","1,000","0,000","0,003","-0,003","1,000","0,000","-0,001","0,000","1,000","0,003","0,003","0,001","1,000","-0,001","0,003","0,003","1,000","-0,002","0,003","-0,017"
256,"1,000","0,001","0,004","0,003","1,000","0,002","0,001","-0,001","1,000","0,001","0,004","-0,003","1,000","0,000","-0,001","0,000","1,000","0,003","0,003","0,001","1,000","-0,002","0,003","0,003","1,000","-0,003","0,003","-0,017"
257,"1,000","0,002","0,003","0,003","1,000","0,001","0,001","-0,001","1,000","0,000","0,003","-0,003","1,000","0,000","-0,001","0,000","1,000","0,003","0,003","0,001","1,000","-0,002","0,003","0,002","1,000","-0,002","0,003","-0,017"
258,"1,000","0,002","0,003","0,002","1,000","0,001","0,002","-0,001","1,000","0,000","0,004","-0,003","1,000","0,001","-0,001","0,000","1,000","0,003","0,003","0,001","1,000","-0,002","0,003","0,002","1,000","-0,002","0,004","-0,017"
259,"1,000","0,002","0,004","0,002","1,000","0,001","0,002","-0,001","1,000","0,000","0,004","-0,003","1,000","0,000","-0,001","0,000","1,000","0,003","0,004","0,001","1,000","-0,002","0,003","0,002","1,000","-0,003","0,004","-0,017"
260,"1,000","0,002","0,004","0,002","1,000","0,001","0,002","-0,001","1,000","0,000","0,004","-0,003","1,000","0,001","-0,001","0,000","1,000","0,003","0,003","0,001","1,000","-0,002","0,003","0,002","1,000","-0,003","0,004","-0,017"
261,"1,000","0,002","0,004","0,002","1,000","0,001","0,002","-0,001","1,000","0,000","0,003","-0,003","1,000","0,000","-0,001","0,000","1,000","0,002","0,003","0,001","1,000","-0,002","0,003","0,002","1,000","-0,003","0,003","-0,017"
262,"1,000","0,002","0,004","0,002","1,000","0,000","0,002","-0,001","1,000","0,000","0,004","-0,003","1,000","0,000","-0,001","0,000","1,000","0,002","0,003","0,001","1,000","-0,002","0,004","0,002","1,000","-0,003","0,003","-0,017"
263,"1,000","0,002","0,004","0,001","1,000","0,000","0,002","-0,002","1,000","0,001","0,003","-0,003","1,000","0,000","-0,001","0,000","1,000","0,002","0,003","0,001","1,000","-0,002","0,004","0,002","1,000","-0,002","0,003","-0,017"
264,"1,000","0,002","0,004","0,001","1,000","0,000","0,003","-0,002","1,000","0,000","0,003","-0,003","1,000","0,000","0,000","0,000","1,000","0,002","0,003","0,000","1,000","-0,002","0,004","0,002","1,000","-0,002","0,003","-0,017"
265,"1,000","0,002","0,004","0,001","1,000","0,000","0,003","-0,002","1,000","0,000","0,003","-0,003","1,000","0,000","0,000","0,000","1,000","0,002","0,003","0,000","1,000","-0,002","0,004","0,002","1,000","-0,003","0,003","-0,017"
266,"1,000","0,002","0,004","0,001","1,000","0,000","0,002","-0,002","1,000","0,000","0,003","-0,003","1,000","0,001","-0,001","0,000","1,000","0,002","0,003","0,000","1,000","-0,002","0,004","0,002","1,000","-0,003","0,003","-0,017"
267,"1,000","0,002","0,004","0,001","1,000","0,000","0,002","-0,002","1,000","0,000","0,003","-0,003","1,000","0,001","-0,001","0,000","1,000","0,002","0,003","0,000","1,000","-0,002","0,004","0,002","1,000","-0,003","0,004","-0,017"
268,"1,000","0,002","0,004","0,001","1,000","0,000","0,002","-0,002","1,000","0,000","0,003","-0,003","1,000","0,001","-0,001","0,000","1,000","0,002","0,003","0,000","1,000","-0,002","0,004","0,002","1,000","-0,002","0,004","-0,017"
269,"1,000","0,002","0,004","0,001","1,000","0,000","0,002","-0,002","1,000","0,000","0,003","-0,003","1,000","0,001","0,000","0,000","1,000","0,002","0,003","0,000","1,000","-0,002","0,004","0,002","1,000","-0,002","0,004","-0,017"
