Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
40,"-0,746","0,289","8,305","3,542","-0,305","-0,482","-1,042","2,453","5,101","-0,573","2,274","3,703","1,400","2,696","0,908","1,365","0,030","0,066","-1,837","-0,905","0,087"
41,"-0,100","0,298","6,453","3,640","-0,656","-0,743","0,006","2,291","2,375","0,787","3,648","1,600","0,473","2,500","0,788","0,816","-0,132","0,018","-1,620","-2,334","-3,147"
42,"0,337","-0,092","3,207","3,490","-0,713","-1,093","1,970","1,403","0,107","2,637","3,580","2,017","0,566","2,684","0,265","0,086","-0,599","0,043","-1,025","-3,412","-5,772"
43,"0,424","-0,196","0,503","3,373","-0,581","-1,043","2,972","-0,016","-1,971","1,167","2,647","1,820","1,460","3,280","-0,419","-0,395","-1,319","0,240","-0,800","-3,882","-6,954"
44,"0,384","0,676","-0,560","4,126","-0,421","-0,819","2,177","-0,691","-1,930","-1,693","7,993","-2,425","2,647","3,023","-0,647","-0,748","-1,506","0,732","-0,940","-3,909","-7,432"
45,"0,379","0,525","-1,418","4,393","-0,376","-0,538","4,332","-1,767","-1,621","-10,272","10,523","-11,109","2,870","1,791","-0,756","-1,107","-1,111","1,033","-4,434","-4,172","-8,763"
46,"0,502","1,774","-0,164","4,464","-0,357","-0,423","4,291","-3,710","-2,980","-15,142","2,508","-15,774","1,685","1,199","-1,025","-1,237","-0,282","0,802","-6,385","-4,158","-11,543"
47,"0,438","2,631","2,286","3,907","-0,490","-0,481","3,996","-4,097","-2,107","-23,822","13,200","-24,406","1,233","0,621","-0,804","-1,305","0,300","0,612","-11,679","-5,111","-13,364"
48,"0,574","3,202","4,023","2,896","-0,856","-0,837","3,692","-4,520","-3,188","-22,416","9,514","-12,603","1,805","0,776","0,013","-0,706","0,538","0,225","-16,407","-6,341","-14,037"
49,"0,596","3,584","4,996","2,634","-0,832","-1,068","0,694","-4,946","-3,580","-17,397","7,151","-17,146","4,041","2,009","0,225","0,324","0,417","-0,080","-20,789","-6,969","-13,065"
50,"0,205","3,969","4,862","3,467","-0,333","-0,657","-2,814","-5,720","-4,481","-17,653","0,057","-4,465","7,194","2,216","0,773","0,740","0,790","-0,456","-25,174","-7,078","-11,329"
51,"-0,594","4,243","3,657","4,553","0,002","-0,116","-2,669","-3,507","-4,796","-20,192","-2,853","-7,122","8,943","1,512","1,924","0,425","0,753","-0,832","-28,104","-6,325","-7,985"
52,"-1,250","4,824","2,588","4,666","0,228","0,520","-3,979","-2,502","-6,669","-22,667","-2,791","-4,392","7,939","0,803","2,875","0,481","0,518","-1,062","-30,029","-6,135","-6,327"
53,"-2,467","4,891","-0,173","4,512","0,228","0,904","-6,462","-2,430","-5,139","-20,343","0,215","-5,385","5,412","0,714","3,597","0,771","0,191","-1,659","-30,509","-5,167","-3,636"
54,"-4,114","4,019","-4,569","4,568","0,338","0,820","-3,699","-2,499","-5,079","-18,330","2,613","-3,421","2,529","1,225","4,145","0,698","0,322","-2,115","-31,566","-4,003","-1,300"
55,"-4,567","4,003","-5,534","4,919","0,064","0,650","-0,949","-1,169","-6,924","-16,799","2,073","-2,541","0,793","1,186","4,562","-0,462","0,838","-2,115","-31,278","-3,486","-0,372"
56,"-4,518","3,894","-7,258","5,410","0,188","0,653","-1,102","-1,971","-6,966","-12,677","-1,478","-1,016","0,444","0,803","5,034","-1,374","1,157","-1,968","-30,131","-2,514","0,605"
57,"-3,754","5,103","-5,438","5,910","0,211","0,796","0,176","-0,379","-5,756","-8,249","-7,294","1,780","0,052","0,396","4,949","-2,166","1,236","-1,916","-27,357","-1,781","1,157"
