Index,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z
1381,"0,997","0,030","0,063","0,010","0,999","-0,012","0,029","0,026","1,000","-0,012","0,005","-0,002","0,564","-0,749","0,313","0,151","0,991","0,118","0,057","0,018","0,997","-0,031","0,059","0,044","0,826","-0,554","0,025","0,096"
1382,"0,997","0,030","0,063","0,011","0,999","-0,012","0,028","0,026","1,000","-0,012","0,005","-0,002","0,564","-0,749","0,312","0,151","0,991","0,117","0,057","0,018","0,997","-0,031","0,059","0,044","0,826","-0,555","0,025","0,096"
1383,"0,997","0,030","0,063","0,011","0,999","-0,012","0,028","0,026","1,000","-0,011","0,004","-0,002","0,564","-0,749","0,312","0,151","0,991","0,117","0,057","0,018","0,997","-0,030","0,059","0,045","0,826","-0,555","0,025","0,096"
1384,"0,997","0,030","0,063","0,011","0,999","-0,012","0,028","0,026","1,000","-0,011","0,004","-0,002","0,564","-0,749","0,312","0,151","0,991","0,117","0,058","0,018","0,997","-0,030","0,058","0,045","0,826","-0,555","0,024","0,096"
1385,"0,997","0,030","0,063","0,012","0,999","-0,012","0,027","0,026","1,000","-0,011","0,004","-0,002","0,564","-0,750","0,312","0,151","0,991","0,117","0,058","0,018","0,997","-0,030","0,058","0,045","0,826","-0,555","0,024","0,096"
1386,"0,997","0,030","0,064","0,012","0,999","-0,012","0,027","0,026","1,000","-0,011","0,003","-0,002","0,564","-0,750","0,312","0,151","0,991","0,117","0,058","0,018","0,997","-0,031","0,058","0,045","0,826","-0,555","0,024","0,096"
1387,"0,997","0,029","0,064","0,012","0,999","-0,012","0,026","0,026","1,000","-0,011","0,003","-0,002","0,564","-0,750","0,312","0,150","0,991","0,117","0,058","0,018","0,997","-0,031","0,058","0,045","0,826","-0,555","0,024","0,095"
1388,"0,997","0,029","0,063","0,012","0,999","-0,012","0,026","0,026","1,000","-0,011","0,003","-0,002","0,564","-0,750","0,312","0,150","0,991","0,117","0,058","0,018","0,997","-0,031","0,058","0,045","0,826","-0,556","0,024","0,095"
1389,"0,998","0,029","0,063","0,011","0,999","-0,012","0,026","0,026","1,000","-0,011","0,003","-0,002","0,564","-0,750","0,312","0,150","0,991","0,116","0,057","0,019","0,997","-0,031","0,059","0,044","0,826","-0,556","0,023","0,095"
1390,"0,998","0,029","0,062","0,011","0,999","-0,012","0,025","0,026","1,000","-0,011","0,003","-0,002","0,564","-0,750","0,311","0,150","0,991","0,116","0,057","0,019","0,997","-0,031","0,058","0,044","0,826","-0,556","0,023","0,095"
1391,"0,998","0,030","0,062","0,011","0,999","-0,012","0,025","0,026","1,000","-0,011","0,004","-0,002","0,564","-0,751","0,311","0,149","0,991","0,116","0,057","0,019","0,997","-0,031","0,058","0,044","0,826","-0,556","0,023","0,095"
1392,"0,998","0,030","0,063","0,011","0,999","-0,012","0,026","0,027","1,000","-0,011","0,004","-0,002","0,564","-0,751","0,311","0,149","0,991","0,116","0,056","0,019","0,997","-0,030","0,058","0,045","0,826","-0,556","0,022","0,095"
1393,"0,998","0,030","0,063","0,011","0,999","-0,012","0,026","0,027","1,000","-0,012","0,004","-0,002","0,564","-0,751","0,311","0,149","0,991","0,116","0,056","0,020","0,997","-0,030","0,058","0,045","0,826","-0,556","0,022","0,095"
1394,"0,998","0,030","0,063","0,011","0,999","-0,012","0,026","0,027","1,000","-0,012","0,004","-0,002","0,564","-0,751","0,310","0,149","0,991","0,116","0,056","0,020","0,997","-0,030","0,058","0,045","0,826","-0,556","0,022","0,095"
1395,"0,998","0,030","0,063","0,011","0,999","-0,013","0,026","0,027","1,000","-0,012","0,004","-0,002","0,564","-0,751","0,310","0,149","0,991","0,116","0,056","0,020","0,997","-0,030","0,059","0,045","0,826","-0,556","0,022","0,095"
1396,"0,998","0,029","0,063","0,011","0,999","-0,013","0,026","0,027","1,000","-0,012","0,004","-0,002","0,563","-0,751","0,310","0,149","0,991","0,116","0,056","0,020","0,997","-0,031","0,058","0,045","0,826","-0,556","0,022","0,096"
1397,"0,998","0,030","0,063","0,011","0,999","-0,013","0,026","0,027","1,000","-0,012","0,004","-0,002","0,564","-0,751","0,309","0,149","0,991","0,116","0,057","0,020","0,997","-0,031","0,058","0,045","0,825","-0,556","0,022","0,096"
