Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
144.0,569.07,-2.55,158.13,282.0,0.42,146.09,409.0
145.0,573.03,-2.44,158.76,285.0,0.62,146.69,413.0
146.0,576.98,-2.35,159.29,288.0,0.84,147.17,416.0
147.0,580.93,-2.27,159.82,288.0,1.04,147.66,423.0
148.0,584.88,-2.26,160.35,289.0,1.23,147.96,428.0
149.0,588.83,-2.19,160.82,291.0,1.4,148.23,431.0
150.0,592.79,-2.15,161.31,292.0,1.58,148.4,436.0
151.0,596.74,-2.12,161.63,292.0,1.76,148.6,443.0
152.0,600.69,-2.11,161.94,295.0,1.88,148.7,450.0
153.0,604.64,-2.09,162.37,299.0,1.99,148.82,458.0
154.0,608.59,-2.09,162.62,300.0,2.11,148.74,464.0
155.0,612.55,-2.11,162.83,301.0,2.2,148.71,470.0
156.0,616.5,-2.12,163.04,303.0,2.29,148.6,473.0
157.0,620.45,-2.15,163.14,303.0,2.35,148.46,477.0
158.0,624.4,-2.14,163.17,305.0,2.41,148.32,481.0
159.0,628.35,-2.21,163.28,306.0,2.47,148.16,486.0
160.0,632.3,-2.18,163.17,307.0,2.47,148.04,492.0
161.0,636.26,-2.22,163.11,306.0,2.49,147.88,495.0
162.0,640.21,-2.29,162.95,308.0,2.52,147.55,499.0
163.0,644.16,-2.36,162.82,308.0,2.51,147.36,503.0
164.0,648.11,-2.39,162.65,307.0,2.5,147.13,508.0
165.0,652.06,-2.43,162.52,307.0,2.51,146.87,512.0
166.0,656.02,-2.48,162.25,309.0,2.48,146.73,515.0
167.0,659.97,-2.53,162.02,310.0,2.45,146.53,516.0
168.0,663.92,-2.55,161.68,310.0,2.45,146.3,519.0
169.0,667.87,-2.6,161.43,311.0,2.42,146.06,521.0
170.0,671.82,-2.61,161.18,311.0,2.38,145.83,524.0
171.0,675.78,-2.65,160.79,311.0,2.34,145.61,528.0
172.0,679.73,-2.71,160.48,310.0,2.33,145.44,529.0
173.0,683.68,-2.68,160.37,311.0,2.31,145.17,531.0
174.0,687.63,-2.72,160.12,313.0,2.28,144.89,531.0
175.0,691.58,-2.72,159.96,314.0,2.28,144.73,533.0
176.0,695.54,-2.78,159.76,316.0,2.24,144.6,533.0
177.0,699.49,-2.7,159.51,318.0,2.21,144.29,533.0
178.0,703.44,-2.72,159.52,319.0,2.22,144.09,535.0
179.0,707.39,-2.7,159.34,320.0,2.22,143.92,536.0
180.0,711.34,-2.71,159.37,319.0,2.21,143.83,537.0
181.0,715.29,-2.68,159.39,321.0,2.22,143.65,537.0
182.0,719.25,-2.66,159.41,322.0,2.24,143.6,537.0
183.0,723.2,-2.65,159.41,324.0,2.25,143.42,536.0
184.0,727.15,-2.65,159.45,324.0,2.26,143.43,536.0
