Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
133.0,525.6,-24.12,74.41,10.0,29.93,77.87,7.0
134.0,529.56,-24.11,74.52,10.0,29.89,77.93,7.0
135.0,533.51,-24.07,74.71,11.0,29.86,78.04,7.0
136.0,537.46,-24.26,75.05,11.0,29.93,78.21,7.0
137.0,541.41,-24.24,75.31,11.0,29.78,78.16,7.0
138.0,545.36,-24.32,75.43,11.0,29.79,78.23,7.0
139.0,549.31,-24.55,75.75,11.0,29.76,78.43,7.0
140.0,553.27,-24.53,76.1,11.0,29.79,78.7,7.0
141.0,557.22,-24.54,76.31,11.0,29.82,78.74,7.0
142.0,561.17,-24.49,76.53,11.0,29.84,79.12,7.0
143.0,565.12,-24.63,76.83,11.0,29.79,79.1,7.0
144.0,569.07,-24.78,77.07,11.0,29.81,79.46,7.0
145.0,573.03,-24.94,77.35,11.0,29.74,79.79,7.0
146.0,576.98,-25.07,77.84,11.0,29.75,80.07,7.0
147.0,580.93,-25.09,78.17,11.0,29.81,80.32,7.0
148.0,584.88,-25.16,78.42,11.0,29.81,80.64,7.0
149.0,588.83,-25.23,78.8,11.0,29.71,81.12,7.0
150.0,592.79,-25.3,78.97,11.0,29.84,81.39,7.0
151.0,596.74,-25.39,79.16,11.0,29.85,81.5,7.0
152.0,600.69,-25.57,79.69,11.0,29.79,81.9,7.0
153.0,604.64,-25.75,80.18,11.0,29.67,82.12,7.0
154.0,608.59,-25.84,80.51,11.0,29.58,82.54,8.0
155.0,612.55,-26.07,81.07,11.0,29.49,83.23,8.0
156.0,616.5,-26.11,81.34,11.0,29.34,83.51,8.0
157.0,620.45,-26.26,81.87,12.0,28.85,85.54,9.0
158.0,624.4,-26.3,82.2,12.0,27.97,89.01,9.0
159.0,628.35,-26.35,82.57,12.0,26.17,94.49,10.0
160.0,632.3,-26.32,83.01,13.0,23.66,102.23,10.0
161.0,636.26,-26.33,83.37,13.0,20.65,112.82,12.0
162.0,640.21,-26.34,83.64,13.0,17.69,123.05,15.0
163.0,644.16,-26.33,84.08,14.0,15.0,132.02,17.0
164.0,648.11,-26.27,84.29,14.0,13.16,139.21,20.0
165.0,652.06,-26.28,84.59,14.0,11.11,145.99,24.0
166.0,656.02,-26.34,84.85,15.0,9.29,152.51,28.0
167.0,659.97,-26.35,85.02,16.0,7.75,157.24,33.0
168.0,663.92,-26.22,85.17,17.0,6.39,161.79,38.0
169.0,667.87,-26.14,85.36,18.0,5.32,165.15,41.0
170.0,671.82,-25.59,86.52,19.0,4.6,167.88,46.0
171.0,675.78,-24.67,88.79,20.0,3.81,170.39,50.0
172.0,679.73,-22.79,93.38,22.0,3.26,172.17,56.0
173.0,683.68,-20.6,98.78,26.0,2.63,174.23,61.0
174.0,687.63,-17.4,106.62,29.0,2.12,175.61,67.0
175.0,691.58,-14.07,114.46,35.0,1.74,176.76,73.0
176.0,695.54,-10.94,121.82,40.0,1.38,177.75,82.0
177.0,699.49,-8.43,127.28,45.0,1.03,178.59,89.0
178.0,703.44,-6.25,132.24,50.0,0.84,178.98,99.0
179.0,707.39,-4.62,135.76,56.0,0.47,179.99,109.0
180.0,711.34,-3.22,139.14,62.0,0.11,180.7,119.0
181.0,715.29,-2.02,141.86,68.0,-0.18,181.2,133.0
182.0,719.25,-1.0,144.17,74.0,-0.45,181.79,144.0
183.0,723.2,-0.02,146.7,85.0,-0.77,182.4,156.0
184.0,727.15,0.74,148.52,95.0,-1.02,182.81,168.0
185.0,731.1,1.8,150.84,104.0,-1.25,183.06,178.0
186.0,735.05,2.63,152.57,116.0,-1.44,183.31,189.0
187.0,739.01,3.5,154.24,127.0,-1.7,183.32,199.0
188.0,742.96,4.32,155.8,139.0,-1.86,183.48,209.0
189.0,746.91,5.01,156.88,152.0,-2.05,183.51,221.0
190.0,750.86,5.69,157.96,163.0,-2.24,183.71,232.0
191.0,754.81,6.29,158.7,173.0,-2.4,183.65,243.0
192.0,758.77,6.81,159.58,186.0,-2.59,183.85,254.0
193.0,762.72,7.32,160.28,198.0,-2.76,183.85,265.0
194.0,766.67,7.71,160.61,209.0,-2.93,183.6,273.0
195.0,770.62,8.09,160.95,221.0,-3.08,183.61,283.0
196.0,774.57,8.48,161.44,232.0,-3.25,183.48,293.0
197.0,778.53,8.84,161.92,242.0,-3.41,183.29,303.0
198.0,782.48,9.21,162.3,254.0,-3.54,183.13,310.0
199.0,786.43,9.55,162.71,266.0,-3.75,183.03,318.0
200.0,790.38,9.85,162.89,275.0,-3.89,183.03,325.0
201.0,794.33,10.13,163.15,284.0,-4.03,182.97,334.0
202.0,798.28,10.43,163.37,294.0,-4.18,182.93,340.0
203.0,802.24,10.62,163.44,303.0,-4.27,182.91,346.0
204.0,806.19,10.9,163.6,313.0,-4.4,182.79,350.0
205.0,810.14,11.12,163.75,321.0,-4.46,182.75,356.0
206.0,814.09,11.31,163.99,328.0,-4.54,182.66,361.0
207.0,818.04,11.49,164.08,335.0,-4.63,182.6,367.0
208.0,822.0,11.67,164.26,342.0,-4.69,182.58,370.0
209.0,825.95,11.75,164.12,348.0,-4.73,182.52,376.0
210.0,829.9,11.9,164.27,355.0,-4.75,182.66,379.0
211.0,833.85,12.05,164.2,361.0,-4.75,182.59,382.0
212.0,837.8,12.17,164.29,367.0,-4.74,182.57,385.0
213.0,841.76,12.26,164.09,370.0,-4.73,182.43,388.0
214.0,845.71,12.32,164.23,374.0,-4.74,182.39,390.0
215.0,849.66,12.35,164.07,379.0,-4.71,182.34,392.0
216.0,853.61,12.41,164.14,383.0,-4.63,182.23,394.0
217.0,857.56,12.43,163.99,386.0,-4.57,182.12,396.0
218.0,861.52,12.47,163.94,388.0,-4.55,182.16,397.0
219.0,865.47,12.48,163.9,390.0,-4.46,182.04,399.0
220.0,869.42,12.47,163.76,391.0,-4.41,182.02,400.0
221.0,873.37,12.46,163.87,392.0,-4.34,181.97,403.0
222.0,877.32,12.43,163.75,393.0,-4.24,181.76,403.0
223.0,881.27,12.38,163.69,394.0,-4.14,181.54,403.0
224.0,885.23,12.39,163.68,396.0,-4.08,181.45,403.0
225.0,889.18,12.37,163.6,396.0,-3.97,181.18,404.0
226.0,893.13,12.35,163.33,396.0,-3.93,181.05,404.0
227.0,897.08,12.29,163.1,397.0,-3.8,180.62,406.0
228.0,901.03,12.27,162.91,397.0,-3.71,180.4,404.0
229.0,904.99,12.26,162.85,396.0,-3.64,180.15,405.0
230.0,908.94,12.23,162.48,396.0,-3.56,179.87,406.0
