Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
186.0,735.05,5.71,97.6,322.0,-4.41,93.94,251.0
187.0,739.01,5.55,95.36,312.0,-4.19,91.16,246.0
188.0,742.96,5.39,93.26,302.0,-3.99,88.12,242.0
189.0,746.91,5.19,90.95,292.0,-3.73,85.17,239.0
190.0,750.86,4.95,88.66,286.0,-3.54,82.67,235.0
191.0,754.81,4.78,86.45,276.0,-3.32,80.16,232.0
192.0,758.77,4.57,84.26,272.0,-3.05,77.74,231.0
193.0,762.72,4.35,82.31,266.0,-2.88,75.76,229.0
194.0,766.67,4.15,80.69,260.0,-2.72,74.25,229.0
195.0,770.62,4.05,79.53,259.0,-2.55,73.2,230.0
196.0,774.57,3.97,79.07,256.0,-2.46,72.63,231.0
197.0,778.53,3.96,79.14,254.0,-2.34,72.39,230.0
198.0,782.48,3.89,79.7,256.0,-2.27,72.4,229.0
199.0,786.43,4.01,80.99,257.0,-2.21,72.62,229.0
200.0,790.38,4.11,82.54,257.0,-2.1,72.98,229.0
201.0,794.33,4.3,84.85,258.0,-1.97,73.57,228.0
202.0,798.28,4.55,87.62,259.0,-1.83,74.26,226.0
203.0,802.24,4.84,90.77,258.0,-1.75,75.31,225.0
204.0,806.19,5.11,94.16,259.0,-1.64,76.44,220.0
205.0,810.14,5.48,97.77,257.0,-1.54,77.76,217.0
206.0,814.09,5.75,101.26,259.0,-1.58,79.35,212.0
207.0,818.04,5.99,104.28,259.0,-1.64,81.4,206.0
208.0,822.0,6.29,107.21,261.0,-1.64,83.83,205.0
209.0,825.95,6.62,110.31,265.0,-1.72,87.19,202.0
210.0,829.9,6.92,113.5,272.0,-1.99,91.1,199.0
211.0,833.85,7.18,116.71,281.0,-2.26,95.2,198.0
212.0,837.8,7.43,119.84,288.0,-2.59,99.57,201.0
213.0,841.76,7.59,122.59,295.0,-2.98,103.93,200.0
214.0,845.71,7.72,124.79,294.0,-3.44,108.27,202.0
215.0,849.66,7.74,126.49,294.0,-3.85,112.47,203.0
216.0,853.61,7.77,128.15,295.0,-4.23,116.49,204.0
217.0,857.56,7.7,129.85,293.0,-4.67,120.52,207.0
218.0,861.52,7.61,131.64,294.0,-5.08,124.39,213.0
219.0,865.47,7.6,133.54,301.0,-5.46,128.36,219.0
220.0,869.42,7.53,135.68,307.0,-5.78,132.13,225.0
221.0,873.37,7.46,137.66,314.0,-6.1,135.5,229.0
222.0,877.32,7.38,139.52,324.0,-6.41,138.85,232.0
223.0,881.27,7.29,141.18,331.0,-6.67,141.78,234.0
224.0,885.23,7.17,142.48,340.0,-6.9,144.19,235.0
225.0,889.18,6.97,143.33,344.0,-7.15,146.67,238.0
226.0,893.13,6.82,144.15,348.0,-7.35,148.8,242.0
227.0,897.08,6.62,144.69,350.0,-7.4,150.59,248.0
228.0,901.03,6.38,145.12,353.0,-7.53,152.42,257.0
229.0,904.99,6.25,145.81,359.0,-7.67,154.06,265.0
230.0,908.94,6.11,146.99,368.0,-7.79,155.33,275.0
231.0,912.89,6.04,148.23,380.0,-7.82,156.34,286.0
232.0,916.84,5.94,149.88,392.0,-7.93,157.16,294.0
233.0,920.79,5.93,151.42,408.0,-8.05,157.87,304.0
234.0,924.75,5.88,152.53,422.0,-8.11,158.11,311.0
235.0,928.7,5.87,153.49,434.0,-8.21,158.58,317.0
236.0,932.65,5.81,154.17,443.0,-8.26,158.86,324.0
237.0,936.6,5.77,154.56,455.0,-8.31,158.98,333.0
238.0,940.55,5.76,154.74,467.0,-8.32,159.11,342.0
239.0,944.51,5.74,154.92,476.0,-8.29,159.13,352.0
240.0,948.46,5.77,155.07,487.0,-8.31,159.39,359.0
241.0,952.41,5.79,155.09,500.0,-8.33,159.66,367.0
242.0,956.36,5.78,154.98,510.0,-8.31,159.69,375.0
243.0,960.31,5.81,154.88,526.0,-8.3,159.94,384.0
244.0,964.26,5.81,154.6,535.0,-8.27,160.1,392.0
245.0,968.22,5.79,154.41,542.0,-8.21,160.18,396.0
246.0,972.17,5.81,154.28,553.0,-8.18,160.12,401.0
247.0,976.12,5.78,154.12,556.0,-8.19,160.0,409.0
248.0,980.07,5.76,153.84,563.0,-8.16,159.91,414.0
249.0,984.02,5.76,153.67,568.0,-8.18,160.03,420.0
250.0,987.98,5.72,153.36,576.0,-8.15,160.03,427.0
251.0,991.93,5.68,152.96,581.0,-8.18,159.94,432.0
252.0,995.88,5.65,152.73,586.0,-8.22,160.05,439.0
253.0,999.83,5.6,152.17,591.0,-8.23,159.91,445.0
254.0,1003.78,5.58,151.81,595.0,-8.26,159.89,450.0
255.0,1007.74,5.54,151.39,595.0,-8.33,159.96,455.0
256.0,1011.69,5.52,151.09,600.0,-8.37,159.91,458.0
257.0,1015.64,5.48,150.77,606.0,-8.44,160.04,465.0
258.0,1019.59,5.48,150.65,611.0,-8.52,160.04,469.0
259.0,1023.54,5.52,150.64,617.0,-8.6,160.07,475.0
260.0,1027.49,5.55,150.57,623.0,-8.68,160.11,476.0
261.0,1031.45,5.6,150.59,630.0,-8.79,160.22,478.0
262.0,1035.4,5.64,150.57,635.0,-8.86,160.19,482.0
263.0,1039.35,5.71,150.76,640.0,-8.96,160.33,484.0
264.0,1043.3,5.77,150.9,645.0,-9.04,160.43,487.0
265.0,1047.25,5.91,151.05,649.0,-9.09,160.58,489.0
266.0,1051.21,5.95,151.24,653.0,-9.2,160.82,489.0
267.0,1055.16,6.04,151.36,655.0,-9.28,161.18,492.0
268.0,1059.11,6.15,151.63,657.0,-9.36,161.52,493.0
269.0,1063.06,6.31,151.88,658.0,-9.46,161.82,494.0
270.0,1067.01,6.44,152.15,663.0,-9.52,162.07,495.0
