Frame,ms,X_L,Y_L,Force_L,X_R,Y_R,Force_R
133.0,525.6,-19.48,69.8,14.0,27.26,74.07,3.0
134.0,529.56,-19.44,69.81,15.0,27.12,74.64,4.0
135.0,533.51,-19.71,69.95,15.0,27.1,74.72,4.0
136.0,537.46,-19.68,70.23,14.0,27.17,75.08,4.0
137.0,541.41,-20.0,70.52,14.0,27.05,75.39,4.0
138.0,545.36,-19.92,70.66,14.0,27.11,75.52,4.0
139.0,549.31,-20.03,70.94,15.0,27.1,75.75,4.0
140.0,553.27,-20.07,71.09,15.0,27.01,76.25,4.0
141.0,557.22,-20.09,71.31,15.0,27.03,76.74,4.0
142.0,561.17,-20.22,71.54,15.0,26.93,76.84,4.0
143.0,565.12,-20.28,71.85,15.0,26.97,77.09,5.0
144.0,569.07,-20.33,72.02,15.0,26.91,77.29,5.0
145.0,573.03,-20.29,72.15,15.0,26.85,77.57,5.0
146.0,576.98,-20.35,72.4,15.0,26.84,77.74,5.0
147.0,580.93,-20.46,72.78,15.0,26.78,78.02,5.0
148.0,584.88,-20.49,72.96,16.0,26.74,78.37,5.0
149.0,588.83,-20.56,73.26,17.0,26.74,78.9,5.0
150.0,592.79,-20.6,73.44,17.0,26.74,79.09,5.0
151.0,596.74,-20.72,73.81,17.0,26.82,79.5,5.0
152.0,600.69,-20.74,74.05,17.0,26.67,79.74,5.0
153.0,604.64,-20.84,74.34,17.0,26.33,81.72,5.0
154.0,608.59,-20.97,74.62,18.0,24.6,88.87,5.0
155.0,612.55,-21.09,75.06,18.0,22.13,98.67,7.0
156.0,616.5,-21.41,75.47,18.0,17.51,115.8,8.0
157.0,620.45,-21.45,75.85,18.0,14.18,129.49,10.0
158.0,624.4,-21.77,76.39,17.0,10.7,142.12,12.0
159.0,628.35,-21.92,77.03,17.0,8.0,152.37,16.0
160.0,632.3,-22.32,77.46,18.0,5.81,160.12,18.0
161.0,636.26,-22.72,77.96,18.0,4.23,165.67,21.0
162.0,640.21,-23.05,78.41,18.0,3.18,169.99,23.0
163.0,644.16,-23.35,79.01,19.0,2.2,173.22,25.0
164.0,648.11,-23.5,79.48,18.0,1.66,175.03,25.0
165.0,652.06,-23.85,80.13,19.0,1.0,176.98,26.0
166.0,656.02,-23.96,81.02,19.0,0.42,179.01,28.0
167.0,659.97,-23.68,82.86,19.0,-0.08,180.65,32.0
168.0,663.92,-23.47,84.81,20.0,-0.71,182.45,33.0
169.0,667.87,-23.05,87.24,20.0,-1.27,184.61,40.0
170.0,671.82,-22.44,90.35,21.0,-1.79,186.4,46.0
171.0,675.78,-21.89,93.27,23.0,-2.21,187.8,53.0
172.0,679.73,-21.41,95.84,24.0,-2.56,189.01,63.0
173.0,683.68,-20.4,99.79,25.0,-2.75,189.84,73.0
174.0,687.63,-19.31,103.36,26.0,-2.8,190.14,84.0
175.0,691.58,-17.99,108.43,30.0,-2.97,190.66,96.0
176.0,695.54,-16.72,112.27,33.0,-3.11,191.13,108.0
177.0,699.49,-15.42,116.9,38.0,-3.15,191.3,120.0
178.0,703.44,-14.01,121.0,43.0,-3.25,191.58,135.0
179.0,707.39,-12.7,125.37,50.0,-3.31,191.39,147.0
180.0,711.34,-11.38,130.0,55.0,-3.3,191.27,160.0
181.0,715.29,-10.2,134.35,63.0,-3.46,191.5,175.0
182.0,719.25,-9.05,138.06,73.0,-3.47,191.28,188.0
183.0,723.2,-8.15,140.8,79.0,-3.56,191.21,203.0
184.0,727.15,-7.36,143.43,88.0,-3.6,191.01,215.0
185.0,731.1,-6.67,145.57,96.0,-3.67,190.9,229.0
186.0,735.05,-6.04,147.16,106.0,-3.76,190.75,241.0
187.0,739.01,-5.57,148.43,117.0,-3.88,190.87,253.0
188.0,742.96,-4.95,149.8,125.0,-3.94,190.77,267.0
189.0,746.91,-4.43,150.82,136.0,-4.0,190.55,280.0
190.0,750.86,-3.96,152.05,146.0,-4.06,190.42,291.0
191.0,754.81,-3.52,152.97,156.0,-4.19,190.53,303.0
192.0,758.77,-3.06,153.89,169.0,-4.33,190.66,315.0
193.0,762.72,-2.66,154.74,179.0,-4.43,190.64,324.0
194.0,766.67,-2.31,155.35,189.0,-4.54,190.76,335.0
195.0,770.62,-1.93,155.99,200.0,-4.63,190.77,347.0
196.0,774.57,-1.63,156.37,209.0,-4.7,190.69,358.0
197.0,778.53,-1.28,156.84,221.0,-4.83,190.78,369.0
198.0,782.48,-1.02,157.24,230.0,-4.99,190.96,377.0
199.0,786.43,-0.75,157.64,239.0,-5.09,190.89,385.0
200.0,790.38,-0.51,158.0,248.0,-5.17,190.93,393.0
201.0,794.33,-0.31,158.19,256.0,-5.31,191.09,399.0
202.0,798.28,-0.06,158.52,265.0,-5.42,191.21,405.0
203.0,802.24,0.07,158.55,274.0,-5.52,191.3,412.0
204.0,806.19,0.28,158.75,281.0,-5.58,191.35,417.0
205.0,810.14,0.44,158.86,289.0,-5.68,191.4,421.0
206.0,814.09,0.56,159.09,297.0,-5.73,191.34,426.0
207.0,818.04,0.68,159.12,305.0,-5.8,191.34,429.0
208.0,822.0,0.84,159.37,310.0,-5.83,191.45,432.0
209.0,825.95,0.93,159.56,316.0,-5.85,191.44,435.0
210.0,829.9,1.0,159.64,321.0,-5.87,191.5,438.0
211.0,833.85,1.05,159.7,326.0,-5.87,191.36,441.0
212.0,837.8,1.1,159.74,331.0,-5.89,191.46,444.0
213.0,841.76,1.15,159.82,333.0,-5.9,191.45,447.0
214.0,845.71,1.16,159.82,339.0,-5.88,191.37,448.0
215.0,849.66,1.19,159.93,342.0,-5.89,191.4,450.0
216.0,853.61,1.22,160.0,346.0,-5.88,191.45,452.0
217.0,857.56,1.24,160.02,348.0,-5.87,191.38,453.0
218.0,861.52,1.23,160.03,349.0,-5.85,191.3,456.0
219.0,865.47,1.24,160.01,351.0,-5.82,191.16,457.0
220.0,869.42,1.19,159.94,352.0,-5.79,191.23,457.0
221.0,873.37,1.15,159.89,353.0,-5.76,191.13,457.0
222.0,877.32,1.14,159.84,353.0,-5.7,191.04,457.0
223.0,881.27,1.08,159.73,355.0,-5.63,191.01,458.0
224.0,885.23,1.07,159.75,355.0,-5.64,191.0,457.0
225.0,889.18,1.0,159.56,357.0,-5.61,191.03,455.0
226.0,893.13,0.95,159.51,357.0,-5.56,190.98,456.0
227.0,897.08,0.9,159.39,358.0,-5.54,190.99,455.0
228.0,901.03,0.91,159.31,359.0,-5.53,190.95,454.0
229.0,904.99,0.85,159.26,358.0,-5.46,190.78,453.0
230.0,908.94,0.78,158.99,359.0,-5.44,190.72,452.0
231.0,912.89,0.73,158.93,360.0,-5.41,190.65,451.0
232.0,916.84,0.67,158.93,360.0,-5.36,190.58,448.0
233.0,920.79,0.64,158.78,360.0,-5.31,190.39,447.0
234.0,924.75,0.56,158.59,359.0,-5.3,190.37,445.0
235.0,928.7,0.52,158.64,359.0,-5.26,190.26,444.0
236.0,932.65,0.47,158.5,359.0,-5.23,190.22,441.0
237.0,936.6,0.43,158.45,360.0,-5.2,190.15,441.0
238.0,940.55,0.4,158.37,360.0,-5.16,189.98,439.0
239.0,944.51,0.37,158.28,360.0,-5.14,189.99,436.0
240.0,948.46,0.35,158.28,361.0,-5.11,189.92,434.0
241.0,952.41,0.37,158.31,362.0,-5.1,189.88,431.0
242.0,956.36,0.36,158.33,361.0,-5.07,189.88,429.0
243.0,960.31,0.36,158.38,361.0,-5.05,189.9,428.0
244.0,964.26,0.37,158.42,360.0,-5.05,189.81,427.0
245.0,968.22,0.35,158.38,361.0,-5.07,189.91,425.0
246.0,972.17,0.36,158.38,361.0,-5.05,189.86,423.0
247.0,976.12,0.35,158.38,361.0,-5.07,189.94,421.0
248.0,980.07,0.38,158.44,361.0,-5.07,190.02,420.0
249.0,984.02,0.38,158.42,361.0,-5.06,189.94,418.0
250.0,987.98,0.36,158.43,362.0,-5.01,189.72,416.0
251.0,991.93,0.38,158.41,362.0,-4.98,189.65,414.0
252.0,995.88,0.4,158.54,364.0,-5.0,189.7,412.0
253.0,999.83,0.42,158.47,364.0,-4.95,189.53,411.0
254.0,1003.78,0.43,158.46,364.0,-4.91,189.36,409.0
255.0,1007.74,0.47,158.42,364.0,-4.89,189.2,407.0
256.0,1011.69,0.46,158.31,364.0,-4.89,189.11,406.0
257.0,1015.64,0.49,158.25,365.0,-4.9,189.04,405.0
258.0,1019.59,0.52,158.08,364.0,-4.82,188.66,404.0
259.0,1023.54,0.53,158.07,365.0,-4.81,188.65,402.0
